MP Name,composite_risk_rank,composite_risk_score,risk_band,is_flagged_composite,constituency_proxy,top_vendor,is_ghost_work_flagged,true_label,top_shap_drivers,num_works,anomaly_score_mean,anomaly_score_max,anomaly_flag_rate,cost_deviation_pct_mean,cost_deviation_pct_max,sor_match_confidence_mean,duplicate_score_mean,duplicate_score_max,duplicate_flag_rate,duplicate_group_size_max,injected_anomaly_frac,ghost_work_rate,constituency_proxy_state,constituency_proxy_district,num_months,deviation_flag_rate,residual_pct_mean,residual_pct_max,total_actual_amount,num_primary_vendors,collusion_score_mean,collusion_score_max,flagged_vendor_rate,any_flagged_vendor,top_vendor_total_amount,top_vendor_collusion_score,top_vendor_is_flagged_collusion,target_high_risk,driver_1_feature,driver_1_shap,driver_2_feature,driver_2_shap,driver_3_feature,driver_3_shap,composite_risk_score_raw_oof,composite_risk_score_in_sample,decision_threshold,is_flagged_capacity,risk_percentile,label_agreement
Shri Ashokrao Shankarrao Chavan (2024-30),11,1.0,Critical,1,"Sitting Rajya Sabha, Maharashtra",Kailash Pandit Chavan,0.0,1,cost_deviation_pct_mean (+3.077); num_works (+1.132); cost_deviation_pct_max (+0.695),2,0.1267687629724895,0.1813909367173668,0.0,0.4786,1.0555,0.9095,0.0,0.0,0.0,1.0,0.5,0.0,Maharashtra,Sitting Rajya Sabha,12,0.0,0.3162727230143988,1.0,8968982.0,5,0.6374339222868635,0.6883223802341449,0.4,1.0,2990932.0,0.6883223802341449,1.0,1,cost_deviation_pct_mean,3.0771174,num_works,1.1315906,cost_deviation_pct_max,0.6948182,0.9936234553654989,0.99249893,0.5,1,0.9575113808801214,agree
Pradyut Bordoloi,12,1.0,Critical,1,"NOWGONG, Assam",PRITOM TRIBEDI,1.0,1,cost_deviation_pct_mean (+4.274); num_works (+1.228); residual_pct_max (-0.208),13,0.1717615785585788,0.2181813871236489,0.0769230769230769,0.2599923076923077,2.6014,0.8575384615384615,0.2128086910471956,0.7232901070647769,0.3076923076923077,12.0,0.1538461538461538,0.3076923076923077,Assam,NOWGONG,23,0.0,0.526824892260594,1.3900125854162928,67857468.0,60,0.4352290275084393,0.6642309487897723,0.0333333333333333,1.0,8829367.0,0.6642309487897723,1.0,1,cost_deviation_pct_mean,4.273629,num_works,1.2276589,residual_pct_max,-0.20825708,0.9931694269180298,0.9951637,0.5,1,0.9575113808801214,agree
Shri Nitin Laxmanrao Jadhav Patil (2024-28),13,1.0,Critical,1,"Sitting Rajya Sabha, Maharashtra",ANAND MAJUR SAHKARI SANSTHA LTD BHIMNAGAR KOREGAON,0.0,1,cost_deviation_pct_mean (+3.484); num_works (+1.115); cost_deviation_pct_max (+0.527),4,0.1275554862922633,0.2004278693446846,0.25,0.62185,2.3517,0.8785000000000001,0.0,0.0,0.0,1.0,0.25,0.0,Maharashtra,Sitting Rajya Sabha,2,0.0,0.0,0.0,4496048.0,3,0.6269951997893174,0.6572227608992315,0.3333333333333333,1.0,2498938.0,0.5839034331681391,0.0,1,cost_deviation_pct_mean,3.4842207,num_works,1.1148415,cost_deviation_pct_max,0.5268817,0.9930423498153687,0.9933528,0.5,1,0.9575113808801214,agree
Dr. Ashok Kumar Mittal (2022-28),14,1.0,Critical,1,"Sitting Rajya Sabha, Punjab",Living Thoughts Private Limited,0.0,1,cost_deviation_pct_mean (+3.801); num_works (+1.169); cost_deviation_pct_max (+0.661),15,0.0826444923739429,0.2105151343513761,0.2,0.3957666666666666,1.9066,0.8333999999999999,0.0,0.0,0.0,1.0,0.2,0.0,Punjab,Sitting Rajya Sabha,23,0.0434782608695652,0.5226519396469593,2.411624782351472,41939879.0,95,0.3216027247606194,0.6604404582345759,0.0105263157894736,1.0,8987658.0,0.6604404582345759,1.0,1,cost_deviation_pct_mean,3.8014128,num_works,1.1685833,cost_deviation_pct_max,0.66144496,0.9930378993352255,0.9952076,0.5,1,0.9575113808801214,agree
SMITA UDAY WAGH,15,1.0,Critical,1,"JALGAON, Maharashtra",GURUDATTA GAWANDI KAMGAR MAJOOR SAHAKARI SOCIETY LIMITED,1.0,1,cost_deviation_pct_mean (+3.180); num_works (+1.190); cost_deviation_pct_max (+0.542),9,0.1215178174429906,0.2118247911551021,0.1111111111111111,0.2936444444444445,2.2987,0.878,0.1579734867251027,0.7108806902629622,0.2222222222222222,2.0,0.1111111111111111,0.2222222222222222,Maharashtra,JALGAON,18,0.0555555555555555,1.1685539558838514,3.1994484075061056,14030677.0,8,0.6134999191984486,0.6633995906054729,0.25,1.0,3998305.0,0.6633995906054729,1.0,1,cost_deviation_pct_mean,3.180195,num_works,1.1895403,cost_deviation_pct_max,0.5420793,0.9929511348406473,0.9926363,0.5,1,0.9575113808801214,agree
Swami Sachchidanandhari Sakshi ji Maharaj ,16,1.0,Critical,1,"UNNAO, Uttar Pradesh",RAJESH KUMAR PAL,1.0,1,cost_deviation_pct_mean (+3.644); num_works (+1.178); cost_deviation_pct_max (+0.654),12,0.1298275137754628,0.2044082409038169,0.1666666666666666,0.3735583333333334,2.0772,0.8216666666666667,0.5178153715790345,0.7680000119209289,0.75,3.0,0.1666666666666666,0.75,Uttar Pradesh,UNNAO,23,0.0,1.0817404218783122,2.567856225277646,68421377.0,6,0.4557949675596734,0.6292007828772535,0.0,0.0,62204113.0,0.6292007828772535,0.0,1,cost_deviation_pct_mean,3.644393,num_works,1.177564,cost_deviation_pct_max,0.65412176,0.9927899638811747,0.99473476,0.5,1,0.9575113808801214,agree
Smt. Jaya Amitabh Bachchan (2024-30),17,1.0,Critical,1,"Sitting Rajya Sabha, Uttar Pradesh",Asha Construction,0.0,1,cost_deviation_pct_mean (+3.824); num_works (+1.135); cost_deviation_pct_max (+0.500),10,0.1213202699049929,0.2169825415134998,0.1,0.2455099999999999,2.263,0.819,0.0,0.0,0.0,1.0,0.1,0.0,Uttar Pradesh,Sitting Rajya Sabha,17,0.0588235294117647,0.3488172028396173,1.3462669735041557,21904185.0,5,0.6511055447820153,0.676425698484522,0.6,1.0,10072957.0,0.6594277454571572,1.0,1,cost_deviation_pct_mean,3.8236182,num_works,1.1347657,cost_deviation_pct_max,0.49997383,0.9926843245824178,0.99537635,0.5,1,0.9575113808801214,agree
Shri Mahendra Bhatt (2024-30),18,1.0,Critical,1,"Sitting Rajya Sabha, Uttarakhand",SATISH KUMAR,0.0,1,cost_deviation_pct_mean (+4.124); num_works (+1.241); sor_match_confidence_mean (-0.179),11,0.1250545691745811,0.2038879996861539,0.1818181818181818,0.5063272727272727,2.8718,0.7892727272727273,0.0,0.0,0.0,1.0,0.1818181818181818,0.0,Uttarakhand,Sitting Rajya Sabha,21,0.0476190476190476,-2.756455069676203,1.9121126469178524,23254909.0,44,0.3909876275685099,0.6412438052143934,0.0,0.0,3002607.0,0.5984306543130072,0.0,1,cost_deviation_pct_mean,4.123766,num_works,1.241402,sor_match_confidence_mean,-0.17863882,0.9917987783749899,0.9926928,0.5,1,0.9575113808801214,agree
TOKHAN SAHU,19,1.0,Critical,1,"BILASPUR, Chhattisgarh",RAJKUMAR TIWARI,1.0,1,cost_deviation_pct_mean (+4.433); cost_deviation_pct_max (+0.376); anomaly_score_max (+0.138),41,0.1812059643710667,0.2221262112186573,0.073170731707317,0.1895487804878048,2.2871,0.8356097560975609,0.4075538730451498,0.7785905711650848,0.5609756097560976,63.0,0.073170731707317,0.5609756097560976,Chhattisgarh,BILASPUR,25,0.04,0.5395245715807804,1.8064652361390303,55824852.0,94,0.4539168122240713,0.6426730948789772,0.0,0.0,3170432.0,0.6251337714573009,0.0,1,cost_deviation_pct_mean,4.433118,cost_deviation_pct_max,0.37642312,anomaly_score_max,0.13822001,0.9917903741200765,0.9932092,0.5,1,0.9575113808801214,agree
Dr. V. Sivadasan (2021-27),20,1.0,Critical,1,"Sitting Rajya Sabha, Kerala",KELTRON,0.0,1,cost_deviation_pct_mean (+3.873); num_works (+1.206); collusion_score_max (+0.235),14,0.128882037271457,0.2213003233516365,0.2142857142857142,0.3362857142857143,2.681,0.8206428571428572,0.0,0.0,0.0,1.0,0.1428571428571428,0.0,Kerala,Sitting Rajya Sabha,18,0.0,1.049992457615977,3.179574326876181,24863346.0,7,0.4395332491971147,0.6859566903684551,0.1428571428571428,1.0,12157439.0,0.6859566903684551,1.0,1,cost_deviation_pct_mean,3.8733432,num_works,1.2061319,collusion_score_max,0.23455676,0.9917685786883036,0.99191487,0.5,1,0.9575113808801214,agree
Rao Inderjit Singh,21,1.0,Critical,1,"GURGAON, Haryana",The Shirdi Sai Cooperative multipurpose society,1.0,1,cost_deviation_pct_mean (+3.358); num_works (+1.189); anomaly_score_max (+0.447),15,0.158024478340902,0.2217870674206247,0.0666666666666666,0.2265533333333333,2.9932,0.9128,0.0902420030766561,0.6826640332274967,0.1333333333333333,2.0,0.0666666666666666,0.1333333333333333,Haryana,GURGAON,24,0.0,0.6736178345779312,1.6827561269162212,22604866.0,23,0.5732247469779439,0.6578566041801336,0.0434782608695652,1.0,4160229.0,0.5856289951878187,0.0,1,cost_deviation_pct_mean,3.3581128,num_works,1.189276,anomaly_score_max,0.44662517,0.9916724761327108,0.99433196,0.5,1,0.9575113808801214,agree
Shri PP Chaudhary,22,1.0,Critical,1,"PALI, Rajasthan",NARPAT RAM,1.0,1,cost_deviation_pct_mean (+3.143); num_works (+1.229); cost_deviation_pct_max (+0.679),8,0.1577589622667492,0.2060989190549476,0.0,0.269275,1.2309,0.89475,0.3788410051445819,0.7667091128429269,0.5,13.0,0.25,0.5,Rajasthan,PALI,18,0.0,0.8180336896875423,1.8087500524881104,12964180.0,102,0.273863426718098,0.6410382101558573,0.0,0.0,2410389.0,0.6410382101558573,0.0,1,cost_deviation_pct_mean,3.1434033,num_works,1.2292484,cost_deviation_pct_max,0.6794215,0.9902835090955099,0.9920563,0.5,1,0.9575113808801214,agree
Smt. Mamata Thakur (2024-30),23,1.0,Critical,1,"Sitting Rajya Sabha, West Bengal",Maa Laxmi Enterprise,0.0,1,cost_deviation_pct_mean (+4.389); collusion_score_max (+0.281); sor_match_confidence_mean (-0.182),51,0.1538380418039678,0.2064383608982834,0.0784313725490196,0.2607823529411764,2.8348,0.828529411764706,0.0,0.0,0.0,1.0,0.0980392156862745,0.0,West Bengal,Sitting Rajya Sabha,22,0.0454545454545454,-0.1391193163177629,8.796902577822383,44446422.0,2,0.6557557638439993,0.6726370035193565,0.5,1.0,21679982.0,0.6388745241686419,0.0,1,cost_deviation_pct_mean,4.3893824,collusion_score_max,0.2809046,sor_match_confidence_mean,-0.18209183,0.9897740880648295,0.9918509,0.5,1,0.9575113808801214,agree
K Subbarayan,24,1.0,Critical,1,"TIRUPPUR, Tamil Nadu",EAGGLE EYE INFRASTRUCTURES,1.0,1,cost_deviation_pct_mean (+4.192); sor_match_confidence_mean (+0.381); cost_deviation_pct_max (+0.235),65,0.1410665987816795,0.2175614443588929,0.1076923076923077,0.2107646153846153,2.4532,0.8720615384615384,0.3834157634061376,0.8533394366473986,0.4923076923076923,21.0,0.1076923076923077,0.4923076923076923,Tamil Nadu,TIRUPPUR,22,0.0,0.7975153747302168,1.8362702999314209,81901423.0,40,0.4986872441284206,0.6399132730015082,0.0,0.0,6785183.0,0.6399132730015082,0.0,1,cost_deviation_pct_mean,4.192221,sor_match_confidence_mean,0.3813365,cost_deviation_pct_max,0.23483372,0.9890386660893759,0.99191344,0.5,1,0.9575113808801214,agree
MURLIDHAR MOHOL,25,1.0,Critical,1,"PUNE, Maharashtra",MUDHAIDEVI MAJUR SAHKARI SANSTHA MARYADIT,1.0,1,cost_deviation_pct_mean (+3.622); num_works (+1.235); sor_match_confidence_mean (+0.407),12,0.1525475584527258,0.1951626584630595,0.0833333333333333,0.3015083333333333,2.7358,0.8785833333333333,0.4970576971690367,0.8667199917428589,0.6666666666666666,2.0,0.1666666666666666,0.6666666666666666,Maharashtra,PUNE,15,0.1333333333333333,1.339642216844279,5.095718688085666,18945481.0,8,0.6223761940673705,0.6543282697694462,0.25,1.0,2999976.0,0.6327901673489909,0.0,1,cost_deviation_pct_mean,3.6216154,num_works,1.2352132,sor_match_confidence_mean,0.40714544,0.9888626337051392,0.9899019,0.5,1,0.9575113808801214,agree
Rao Rajendra Singh,26,1.0,Critical,1,"JAIPUR RURAL, Rajasthan",MS Smart Tech,0.0,1,cost_deviation_pct_mean (+3.766); num_works (+1.232); sor_match_confidence_mean (+0.319),10,0.1615522537640317,0.2190972408181388,0.1,0.29366,2.552,0.8940999999999999,0.0,0.0,0.0,1.0,0.1,0.0,Rajasthan,JAIPUR RURAL,15,0.0,0.7351187733516106,1.3599902399077215,15159151.0,26,0.3879683036922855,0.6395900667959491,0.0,0.0,2500000.0,0.6362377002082884,0.0,1,cost_deviation_pct_mean,3.7663243,num_works,1.2320604,sor_match_confidence_mean,0.31862265,0.9885085622469584,0.99282736,0.5,1,0.9575113808801214,agree
BHAJAN LAL JATAV,27,1.0,Critical,1,"KARAULI-DHOLPUR, Rajasthan",R S CONSTRUCTION,0.0,1,cost_deviation_pct_mean (+3.626); num_works (+1.212); sor_match_confidence_mean (+0.389),11,0.1712816255751263,0.2165689510159525,0.0909090909090909,0.3896363636363636,2.7652,0.8743636363636363,0.0,0.0,0.0,1.0,0.1818181818181818,0.0,Rajasthan,KARAULI-DHOLPUR,15,0.0,0.8709820536324591,2.299621100477084,7253086.0,99,0.2475692426672818,0.6501328736622853,0.0101010101010101,1.0,3383836.0,0.6276143790849673,0.0,1,cost_deviation_pct_mean,3.6264553,num_works,1.2121195,sor_match_confidence_mean,0.3892112,0.9878991842269897,0.9909101,0.5,1,0.9575113808801214,agree
Shri Yerram Venkata Subba Reddy (2024-30),28,1.0,Critical,1,"Sitting Rajya Sabha, Andhra Pradesh",K Rafiqkhan,0.0,1,cost_deviation_pct_mean (+4.333); num_works (-0.355); anomaly_score_max (+0.315),38,0.1840932665511042,0.2227202823462889,0.0789473684210526,0.1951842105263158,2.5371,0.8376842105263158,0.0,0.0,0.0,1.0,0.0789473684210526,0.0,Andhra Pradesh,Sitting Rajya Sabha,18,0.0,0.7258334160673287,1.9277297657580417,33232213.0,21,0.5798371912867711,0.6542097608274078,0.0476190476190476,1.0,3937636.0,0.5655453206923795,0.0,1,cost_deviation_pct_mean,4.332941,num_works,-0.35543898,anomaly_score_max,0.3152757,0.9877971808115641,0.9894873,0.5,1,0.9575113808801214,agree
KUNDURU RAGHUVEER,29,1.0,Critical,1,"NALGONDA, Telangana",ALLIED SURGICALS,1.0,1,cost_deviation_pct_mean (+3.554); num_works (+1.151); sor_match_confidence_mean (+0.358),6,0.0811974584370157,0.2155763700961163,0.3333333333333333,0.5247333333333334,2.7167,0.867,0.5055031074420787,0.7820643711090087,0.6666666666666666,2.0,0.1666666666666666,0.6666666666666666,Telangana,NALGONDA,15,0.0666666666666666,2.048257736007732,8.973885652146645,7766945.0,5,0.5852231918408389,0.6444309775192129,0.0,0.0,3870000.0,0.6444309775192129,0.0,1,cost_deviation_pct_mean,3.5538883,num_works,1.1507514,sor_match_confidence_mean,0.35821593,0.9877471725145975,0.99008125,0.5,1,0.9575113808801214,agree
SURESH GOPI,30,1.0,Critical,1,"THRISSUR, Kerala",VIBINDAS,1.0,1,cost_deviation_pct_mean (+3.711); num_works (+1.239); sor_match_confidence_mean (+0.292),15,0.1531008204701782,0.2155765238516559,0.0666666666666666,0.2498133333333333,2.9464,0.8706666666666667,0.1369648781385942,0.688876552823952,0.2,3.0,0.1333333333333333,0.2,Kerala,THRISSUR,12,0.0833333333333333,0.7012562538365141,1.0471404027969833,16001891.0,10,0.5560874093227034,0.6571922358687065,0.1,1.0,3299183.0,0.6571922358687065,1.0,1,cost_deviation_pct_mean,3.7114463,num_works,1.2387687,sor_match_confidence_mean,0.29224643,0.9869607289632162,0.9903044,0.5,1,0.9575113808801214,agree
KOTA SRINIVAS POOJARY,31,1.0,Critical,1,"UDUPI CHIKMAGALUR, Karnataka",VEERBHADRA,0.0,1,cost_deviation_pct_mean (+3.951); cost_deviation_pct_max (+0.441); sor_match_confidence_mean (+0.375),51,0.1864783572023038,0.2205399508903051,0.0392156862745098,0.1886823529411764,2.2068,0.878,0.0,0.0,0.0,1.0,0.1176470588235294,0.0,Karnataka,UDUPI CHIKMAGALUR,23,0.0434782608695652,0.6221857673335067,1.8626339286967253,44313852.0,75,0.4140750556632909,0.59215057817999,0.0,0.0,1498030.0,0.558501221001221,0.0,1,cost_deviation_pct_mean,3.9511366,cost_deviation_pct_max,0.44080633,sor_match_confidence_mean,0.37454894,0.9860998590787252,0.9915929,0.5,1,0.9575113808801214,agree
ARUP CHAKRABORTY,32,1.0,Critical,1,"BANKURA, West Bengal",GOPAL CHANDRA CHOWDHURY,1.0,1,cost_deviation_pct_mean (+4.445); anomaly_score_max (-0.163); num_primary_vendors (+0.149),40,0.0721097621241087,0.2062613045128863,0.275,0.205345,2.7963,0.8444750000000001,0.4645177230111706,0.8635082654953002,0.575,8.0,0.1,0.575,West Bengal,BANKURA,14,0.0,0.7090807277360726,2.2680035256582074,55795450.0,4,0.6188523486317604,0.6443169575522517,0.0,0.0,42305152.0,0.6443169575522517,0.0,1,cost_deviation_pct_mean,4.4448843,anomaly_score_max,-0.16296093,num_primary_vendors,0.1493236,0.985961397488912,0.9874763,0.5,1,0.9575113808801214,agree
RICHARD VANLALHMANGAIHA,33,1.0,Critical,1,"MIZORAM, Mizoram",VC PHULDUNGSEI ZAMPUI,1.0,1,cost_deviation_pct_mean (+4.749); collusion_score_max (+0.276); duplicate_score_max (-0.232),134,0.164417032088212,0.2204315374513806,0.0820895522388059,0.2029723880597015,2.9243,0.8397686567164179,0.2963601192463294,0.8680000119209289,0.3880597014925373,19.0,0.0820895522388059,0.3880597014925373,Mizoram,MIZORAM,23,0.0434782608695652,0.5226851212092678,1.7178277815812266,96361729.0,148,0.522152060755002,0.6865321769733534,0.0067567567567567,1.0,2740000.0,0.6489827982475042,0.0,1,cost_deviation_pct_mean,4.748689,collusion_score_max,0.27620044,duplicate_score_max,-0.23248981,0.9855467279752096,0.98938155,0.5,1,0.9575113808801214,agree
DEVESH SHAKYA,34,1.0,Critical,1,"ETAH, Uttar Pradesh",SOMYA CONSTRUCTION,1.0,1,cost_deviation_pct_mean (+4.271); anomaly_score_max (+0.394); num_works (-0.204),220,0.1837616205794001,0.222091898982724,0.0636363636363636,0.1959727272727272,2.8574,0.8491909090909091,0.7238391160452305,0.8470592908859252,0.9318181818181818,274.0,0.0909090909090909,0.9318181818181818,Uttar Pradesh,ETAH,21,0.0,0.7987491494394726,1.4914089099802428,81351075.0,2,0.6456034978093801,0.6508259714142067,0.5,1.0,49082754.0,0.6508259714142067,1.0,1,cost_deviation_pct_mean,4.2706037,anomaly_score_max,0.3940671,num_works,-0.20422386,0.9853124221165975,0.9922915,0.5,1,0.9575113808801214,agree
