MP Name,feature,shap_value,abs_shap,direction,driver_rank
ANANTA NAYAK,cost_deviation_pct_max,-1.2784091,1.2784091,decreases_risk,2
ANANTA NAYAK,num_works,-0.46713534,0.46713534,decreases_risk,3
ANDREW J. SYNGKON,sor_match_confidence_mean,0.39439186,0.39439186,increases_risk,1
ANDREW J. SYNGKON,cost_deviation_pct_mean,0.30818343,0.30818343,increases_risk,2
ANDREW J. SYNGKON,anomaly_flag_rate,-0.17764641,0.17764641,decreases_risk,3
ANGOMCHA BIMOL AKOIJAM,cost_deviation_pct_mean,-2.9024675,2.9024675,decreases_risk,1
ANGOMCHA BIMOL AKOIJAM,cost_deviation_pct_max,-1.6776882,1.6776882,decreases_risk,2
ANGOMCHA BIMOL AKOIJAM,sor_match_confidence_mean,0.5968001,0.5968001,increases_risk,3
ANIL BALUNI,cost_deviation_pct_max,-2.8541098,2.8541098,decreases_risk,1
ANIL BALUNI,cost_deviation_pct_mean,-2.8229904,2.8229904,decreases_risk,2
ANIL BALUNI,num_works,0.84962404,0.84962404,increases_risk,3
ANITA NAGARSINGH CHOUHAN,cost_deviation_pct_mean,-3.212497,3.212497,decreases_risk,1
ANITA NAGARSINGH CHOUHAN,num_works,-0.42749184,0.42749184,decreases_risk,2
ANITA NAGARSINGH CHOUHAN,cost_deviation_pct_max,-0.32774055,0.32774055,decreases_risk,3
ANITA SUBHADARSHINI,cost_deviation_pct_mean,-2.7335637,2.7335637,decreases_risk,1
ANITA SUBHADARSHINI,cost_deviation_pct_max,1.0069062,1.0069062,increases_risk,2
ANITA SUBHADARSHINI,sor_match_confidence_mean,0.79725677,0.79725677,increases_risk,3
ANOOP PRADHAN BALMIKI,cost_deviation_pct_mean,0.42371476,0.42371476,increases_risk,1
ANOOP PRADHAN BALMIKI,anomaly_flag_rate,-0.40790582,0.40790582,decreases_risk,2
ANOOP PRADHAN BALMIKI,cost_deviation_pct_max,-0.2904538,0.2904538,decreases_risk,3
ANUP SANJAY DHOTRE,cost_deviation_pct_mean,1.2228577,1.2228577,increases_risk,1
ANUP SANJAY DHOTRE,cost_deviation_pct_max,0.6135132,0.6135132,increases_risk,2
ANUP SANJAY DHOTRE,anomaly_flag_rate,-0.45070124,0.45070124,decreases_risk,3
ARUN BHARTI,cost_deviation_pct_mean,0.8129907,0.8129907,increases_risk,1
ARUN BHARTI,residual_pct_max,-0.39957318,0.39957318,decreases_risk,2
ARUN BHARTI,duplicate_score_max,-0.32349652,0.32349652,decreases_risk,3
ARUN GOVIL,num_works,-0.63428736,0.63428736,decreases_risk,1
ARUN GOVIL,cost_deviation_pct_mean,0.42245004,0.42245004,increases_risk,2
ARUN GOVIL,duplicate_score_max,-0.30750546,0.30750546,decreases_risk,3
ARUN NEHRU,cost_deviation_pct_mean,-3.6914723,3.6914723,decreases_risk,1
ARUN NEHRU,cost_deviation_pct_max,0.608361,0.608361,increases_risk,2
ARUN NEHRU,num_works,-0.3828416,0.3828416,decreases_risk,3
ARUNA. D. K,cost_deviation_pct_mean,-2.088359,2.088359,decreases_risk,1
ARUNA. D. K,duplicate_score_max,-0.38562837,0.38562837,decreases_risk,2
ARUNA. D. K,num_works,-0.25403243,0.25403243,decreases_risk,3
ARUP CHAKRABORTY,cost_deviation_pct_mean,4.4448843,4.4448843,increases_risk,1
ARUP CHAKRABORTY,anomaly_score_max,-0.16296093,0.16296093,decreases_risk,2
ARUP CHAKRABORTY,num_primary_vendors,0.1493236,0.1493236,increases_risk,3
ASHISH DUBEY,cost_deviation_pct_mean,-3.1619852,3.1619852,decreases_risk,1
ASHISH DUBEY,cost_deviation_pct_max,-2.443841,2.443841,decreases_risk,2
ASHISH DUBEY,num_works,0.8897464,0.8897464,increases_risk,3
ATUL GARG,cost_deviation_pct_mean,-3.0603898,3.0603898,decreases_risk,1
ATUL GARG,cost_deviation_pct_max,0.9780486,0.9780486,increases_risk,2
ATUL GARG,sor_match_confidence_mean,0.7533986,0.7533986,increases_risk,3
AVIMANYU SETHI,cost_deviation_pct_mean,4.2771096,4.2771096,increases_risk,1
AVIMANYU SETHI,num_works,-0.4874506,0.4874506,decreases_risk,2
AVIMANYU SETHI,sor_match_confidence_mean,0.35282153,0.35282153,increases_risk,3
AWADHESH PRASAD,cost_deviation_pct_mean,-3.6822147,3.6822147,decreases_risk,1
AWADHESH PRASAD,cost_deviation_pct_max,0.45788783,0.45788783,increases_risk,2
AWADHESH PRASAD,num_works,-0.42768848,0.42768848,decreases_risk,3
AZAD KIRTI JHA,cost_deviation_pct_mean,-3.148121,3.148121,decreases_risk,1
AZAD KIRTI JHA,cost_deviation_pct_max,-2.5593653,2.5593653,decreases_risk,2
AZAD KIRTI JHA,num_works,0.94370145,0.94370145,increases_risk,3
Abu Taher Khan,cost_deviation_pct_mean,0.46663308,0.46663308,increases_risk,1
Abu Taher Khan,collusion_score_max,0.32048994,0.32048994,increases_risk,2
Abu Taher Khan,cost_deviation_pct_max,-0.23823048,0.23823048,decreases_risk,3
Adv Adoor Prakash ,cost_deviation_pct_mean,-3.4012756,3.4012756,decreases_risk,1
Adv Adoor Prakash ,anomaly_score_max,0.4628357,0.4628357,increases_risk,2
Adv Adoor Prakash ,num_works,-0.4174835,0.4174835,decreases_risk,3
Adv Dean Kuriakose,cost_deviation_pct_mean,-3.327809,3.327809,decreases_risk,1
Adv Dean Kuriakose,num_works,-0.4036229,0.4036229,decreases_risk,2
Adv Dean Kuriakose,sor_match_confidence_mean,-0.23526828,0.23526828,decreases_risk,3
Ajay Bhatt,cost_deviation_pct_mean,-1.9968827,1.9968827,decreases_risk,1
Ajay Bhatt,collusion_score_mean,-0.353056,0.353056,decreases_risk,2
Ajay Bhatt,sor_match_confidence_mean,-0.21952099,0.21952099,decreases_risk,3
Ajay Kumar Mandal,cost_deviation_pct_mean,-3.5110602,3.5110602,decreases_risk,1
Ajay Kumar Mandal,cost_deviation_pct_max,0.5097888,0.5097888,increases_risk,2
Ajay Kumar Mandal,num_works,-0.38616833,0.38616833,decreases_risk,3
Ajay Tamta,cost_deviation_pct_mean,-2.9195726,2.9195726,decreases_risk,1
Ajay Tamta,cost_deviation_pct_max,-2.695883,2.695883,decreases_risk,2
Ajay Tamta,num_works,0.86377543,0.86377543,increases_risk,3
Alok Kumar Suman,cost_deviation_pct_mean,-2.1040277,2.1040277,decreases_risk,1
Alok Kumar Suman,duplicate_score_max,-0.3576457,0.3576457,decreases_risk,2
Alok Kumar Suman,sor_match_confidence_mean,-0.26494494,0.26494494,decreases_risk,3
Amol Ramsing Kolhe,cost_deviation_pct_mean,2.321293,2.321293,increases_risk,1
Amol Ramsing Kolhe,num_works,1.1105238,1.1105238,increases_risk,2
Amol Ramsing Kolhe,cost_deviation_pct_max,0.5311077,0.5311077,increases_risk,3
Andimuthu Raja,cost_deviation_pct_mean,1.965496,1.965496,increases_risk,1
Andimuthu Raja,cost_deviation_pct_max,-0.7248469,0.7248469,decreases_risk,2
Andimuthu Raja,residual_pct_max,-0.3483421,0.3483421,decreases_risk,3
Annpurna Devi ,cost_deviation_pct_mean,-1.4081649,1.4081649,decreases_risk,1
Annpurna Devi ,sor_match_confidence_mean,0.8907532,0.8907532,increases_risk,2
Annpurna Devi ,anomaly_score_max,0.58257383,0.58257383,increases_risk,3
Anto Antony,cost_deviation_pct_mean,4.392722,4.392722,increases_risk,1
Anto Antony,collusion_score_max,0.20445019,0.20445019,increases_risk,2
Anto Antony,sor_match_confidence_mean,-0.16537139,0.16537139,decreases_risk,3
Anurag Sharma ,cost_deviation_pct_mean,3.1584096,3.1584096,increases_risk,1
Anurag Sharma ,anomaly_score_max,0.49724686,0.49724686,increases_risk,2
Anurag Sharma ,collusion_score_mean,0.14409752,0.14409752,increases_risk,3
Anurag Singh Thakur,cost_deviation_pct_max,0.9424279,0.9424279,increases_risk,1
Anurag Singh Thakur,cost_deviation_pct_mean,0.2605643,0.2605643,increases_risk,2
Anurag Singh Thakur,anomaly_flag_rate,0.159142,0.159142,increases_risk,3
Appalanaidu Kalisetti,cost_deviation_pct_mean,-3.2036762,3.2036762,decreases_risk,1
Appalanaidu Kalisetti,cost_deviation_pct_max,-1.565485,1.565485,decreases_risk,2
Appalanaidu Kalisetti,sor_match_confidence_mean,0.4444743,0.4444743,increases_risk,3
Arvind Dharmapuri,cost_deviation_pct_mean,-2.9664989,2.9664989,decreases_risk,1
Arvind Dharmapuri,num_works,-0.51649797,0.51649797,decreases_risk,2
Arvind Dharmapuri,cost_deviation_pct_max,-0.29652613,0.29652613,decreases_risk,3
Arvind Ganpat Sawant,cost_deviation_pct_mean,-3.0192907,3.0192907,decreases_risk,1
Arvind Ganpat Sawant,cost_deviation_pct_max,-2.5849884,2.5849884,decreases_risk,2
Arvind Ganpat Sawant,num_works,0.9673273,0.9673273,increases_risk,3
Asaduddin Owaisi,cost_deviation_pct_mean,-2.933361,2.933361,decreases_risk,1
Asaduddin Owaisi,cost_deviation_pct_max,-2.5341167,2.5341167,decreases_risk,2
Asaduddin Owaisi,num_works,0.9004993,0.9004993,increases_risk,3
Ashok Kumar Rawat,cost_deviation_pct_mean,-3.0628266,3.0628266,decreases_risk,1
Ashok Kumar Rawat,cost_deviation_pct_max,-2.612354,2.612354,decreases_risk,2
Ashok Kumar Rawat,num_works,0.87566626,0.87566626,increases_risk,3
Ashok Kumar Yadav ,cost_deviation_pct_mean,1.6293709,1.6293709,increases_risk,1
Ashok Kumar Yadav ,anomaly_flag_rate,-0.5490612,0.5490612,decreases_risk,2
Ashok Kumar Yadav ,collusion_score_max,-0.35528135,0.35528135,decreases_risk,3
Asit Kumar Mal ,cost_deviation_pct_mean,-2.932587,2.932587,decreases_risk,1
Asit Kumar Mal ,num_works,-0.4301036,0.4301036,decreases_risk,2
Asit Kumar Mal ,anomaly_flag_rate,-0.3024396,0.3024396,decreases_risk,3
B K PARTHASARATHI,cost_deviation_pct_mean,-3.5914116,3.5914116,decreases_risk,1
B K PARTHASARATHI,anomaly_score_max,0.46297255,0.46297255,increases_risk,2
B K PARTHASARATHI,cost_deviation_pct_max,0.4246815,0.4246815,increases_risk,3
BABU SINGH KUSHWAHA,cost_deviation_pct_mean,-2.8569672,2.8569672,decreases_risk,1
BABU SINGH KUSHWAHA,num_works,-0.4855229,0.4855229,decreases_risk,2
BABU SINGH KUSHWAHA,cost_deviation_pct_max,-0.34525764,0.34525764,decreases_risk,3
BACHHAV SHOBHA DINESH,cost_deviation_pct_mean,-3.2010674,3.2010674,decreases_risk,1
BACHHAV SHOBHA DINESH,cost_deviation_pct_max,-2.4720275,2.4720275,decreases_risk,2
BACHHAV SHOBHA DINESH,num_works,0.9963525,0.9963525,increases_risk,3
BAG MITALI,cost_deviation_pct_mean,-3.3592365,3.3592365,decreases_risk,1
BAG MITALI,cost_deviation_pct_max,0.61378956,0.61378956,increases_risk,2
BAG MITALI,num_works,-0.3880275,0.3880275,decreases_risk,3
BAIJAYANT PANDA,cost_deviation_pct_mean,-2.9367101,2.9367101,decreases_risk,1
BAIJAYANT PANDA,cost_deviation_pct_max,-2.7321346,2.7321346,decreases_risk,2
BAIJAYANT PANDA,num_works,0.8924233,0.8924233,increases_risk,3
BAJRANG MANOHAR SONWANE,cost_deviation_pct_mean,-2.9824588,2.9824588,decreases_risk,1
BAJRANG MANOHAR SONWANE,cost_deviation_pct_max,0.8715685,0.8715685,increases_risk,2
BAJRANG MANOHAR SONWANE,num_works,-0.6853507,0.6853507,decreases_risk,3
BALABHADRA MAJHI,cost_deviation_pct_mean,-2.903348,2.903348,decreases_risk,1
BALABHADRA MAJHI,cost_deviation_pct_max,0.8342459,0.8342459,increases_risk,2
BALABHADRA MAJHI,num_works,-0.7300309,0.7300309,decreases_risk,3
BALRAM NAIK PORIKA,cost_deviation_pct_mean,-2.8769355,2.8769355,decreases_risk,1
BALRAM NAIK PORIKA,num_works,-0.43239352,0.43239352,decreases_risk,2
BALRAM NAIK PORIKA,anomaly_flag_rate,-0.33025864,0.33025864,decreases_risk,3
BALWANT BASWANT WANKHADE,cost_deviation_pct_mean,-3.5277202,3.5277202,decreases_risk,1
BALWANT BASWANT WANKHADE,cost_deviation_pct_max,0.81974006,0.81974006,increases_risk,2
BALWANT BASWANT WANKHADE,num_works,-0.4148437,0.4148437,decreases_risk,3
BALYA MAMA SURESH GOPINATH MHATRE,cost_deviation_pct_mean,-3.0563538,3.0563538,decreases_risk,1
BALYA MAMA SURESH GOPINATH MHATRE,cost_deviation_pct_max,-2.6977766,2.6977766,decreases_risk,2
BALYA MAMA SURESH GOPINATH MHATRE,num_works,0.902687,0.902687,increases_risk,3
BAPI HALDAR,cost_deviation_pct_mean,-3.7949297,3.7949297,decreases_risk,1
BAPI HALDAR,cost_deviation_pct_max,0.5358411,0.5358411,increases_risk,2
BAPI HALDAR,num_works,-0.39604518,0.39604518,decreases_risk,3
BASAVARAJ BOMMAI,num_works,-1.004886,1.004886,decreases_risk,1
BASAVARAJ BOMMAI,cost_deviation_pct_mean,0.94273317,0.94273317,increases_risk,2
BASAVARAJ BOMMAI,cost_deviation_pct_max,0.6266648,0.6266648,increases_risk,3
BASTIPATI NAGARAJU PANCHALINGALA,cost_deviation_pct_mean,-0.77277154,0.77277154,decreases_risk,1
BASTIPATI NAGARAJU PANCHALINGALA,anomaly_score_max,0.32898775,0.32898775,increases_risk,2
BASTIPATI NAGARAJU PANCHALINGALA,collusion_score_mean,0.26423922,0.26423922,increases_risk,3
BHAJAN LAL JATAV,cost_deviation_pct_mean,3.6264553,3.6264553,increases_risk,1
BHAJAN LAL JATAV,num_works,1.2121195,1.2121195,increases_risk,2
BHAJAN LAL JATAV,sor_match_confidence_mean,0.3892112,0.3892112,increases_risk,3
BHARAT SINGH KUSHWAH,cost_deviation_pct_mean,-2.9006739,2.9006739,decreases_risk,1
BHARAT SINGH KUSHWAH,cost_deviation_pct_max,-2.7057421,2.7057421,decreases_risk,2
BHARAT SINGH KUSHWAH,num_works,0.8717258,0.8717258,increases_risk,3
BHARATBHAI MANUBHAI SUTARIYA,cost_deviation_pct_mean,-2.9631255,2.9631255,decreases_risk,1
BHARATBHAI MANUBHAI SUTARIYA,num_works,-0.45436192,0.45436192,decreases_risk,2
BHARATBHAI MANUBHAI SUTARIYA,cost_deviation_pct_max,0.4070526,0.4070526,increases_risk,3
BHARTI PARDHI,cost_deviation_pct_max,-0.45782816,0.45782816,decreases_risk,1
BHARTI PARDHI,duplicate_score_max,-0.3768271,0.3768271,decreases_risk,2
BHARTI PARDHI,deviation_flag_rate,-0.22176981,0.22176981,decreases_risk,3
BHASKAR MURLIDHAR BHAGARE,cost_deviation_pct_mean,4.3171883,4.3171883,increases_risk,1
BHASKAR MURLIDHAR BHAGARE,num_works,-0.8452106,0.8452106,decreases_risk,2
BHASKAR MURLIDHAR BHAGARE,cost_deviation_pct_max,0.42887083,0.42887083,increases_risk,3
BHAUSAHEB RAJARAM WAKCHAURE,cost_deviation_pct_mean,-2.9193895,2.9193895,decreases_risk,1
BHAUSAHEB RAJARAM WAKCHAURE,cost_deviation_pct_max,-2.7336168,2.7336168,decreases_risk,2
BHAUSAHEB RAJARAM WAKCHAURE,num_works,0.93672913,0.93672913,increases_risk,3
BHOJRAJ NAG,cost_deviation_pct_mean,-2.365678,2.365678,decreases_risk,1
BHOJRAJ NAG,cost_deviation_pct_max,0.76623255,0.76623255,increases_risk,2
BHOJRAJ NAG,num_works,-0.36718872,0.36718872,decreases_risk,3
BHUMARE SANDIPANRAO ASARAM,cost_deviation_pct_mean,-2.7364573,2.7364573,decreases_risk,1
BHUMARE SANDIPANRAO ASARAM,cost_deviation_pct_max,1.0008012,1.0008012,increases_risk,2
BHUMARE SANDIPANRAO ASARAM,sor_match_confidence_mean,0.73239297,0.73239297,increases_risk,3
BHUPENDER YADAV,num_works,-0.67746717,0.67746717,decreases_risk,1
BHUPENDER YADAV,cost_deviation_pct_mean,-0.474948,0.474948,decreases_risk,2
BHUPENDER YADAV,residual_pct_max,-0.27934045,0.27934045,decreases_risk,3
BIBHU PRASAD TARAI,num_works,1.393105,1.393105,increases_risk,1
BIBHU PRASAD TARAI,cost_deviation_pct_max,0.9261888,0.9261888,increases_risk,2
BIBHU PRASAD TARAI,cost_deviation_pct_mean,0.342552,0.342552,increases_risk,3
BIJULI KALITA MEDHI,cost_deviation_pct_mean,3.4638023,3.4638023,increases_risk,1
BIJULI KALITA MEDHI,num_works,1.1769755,1.1769755,increases_risk,2
BIJULI KALITA MEDHI,cost_deviation_pct_max,0.6721845,0.6721845,increases_risk,3
BIPLAB KUMAR DEB,cost_deviation_pct_mean,-3.073655,3.073655,decreases_risk,1
BIPLAB KUMAR DEB,cost_deviation_pct_max,-2.4840786,2.4840786,decreases_risk,2
BIPLAB KUMAR DEB,num_works,0.96681356,0.96681356,increases_risk,3
BRIJENDRA SINGH OLA,cost_deviation_pct_mean,-0.74644154,0.74644154,decreases_risk,1
BRIJENDRA SINGH OLA,cost_deviation_pct_max,-0.43645,0.43645,decreases_risk,2
BRIJENDRA SINGH OLA,residual_pct_max,-0.29544663,0.29544663,decreases_risk,3
BRIJMOHAN AGRAWAL,cost_deviation_pct_mean,-3.614952,3.614952,decreases_risk,1
BRIJMOHAN AGRAWAL,cost_deviation_pct_max,-1.347638,1.347638,decreases_risk,2
BRIJMOHAN AGRAWAL,num_works,-0.32242045,0.32242045,decreases_risk,3
BUNTY VIVEK SAHU,cost_deviation_pct_mean,-3.4332583,3.4332583,decreases_risk,1
BUNTY VIVEK SAHU,cost_deviation_pct_max,0.7631991,0.7631991,increases_risk,2
BUNTY VIVEK SAHU,num_works,-0.42269078,0.42269078,decreases_risk,3
Balashowry Vallabbhaneni,num_works,1.6191463,1.6191463,increases_risk,1
Balashowry Vallabbhaneni,cost_deviation_pct_max,1.2706671,1.2706671,increases_risk,2
Balashowry Vallabbhaneni,sor_match_confidence_mean,0.3200286,0.3200286,increases_risk,3
Bansuri Swaraj,cost_deviation_pct_mean,2.8678868,2.8678868,increases_risk,1
Bansuri Swaraj,anomaly_flag_rate,-0.4882451,0.4882451,decreases_risk,2
Bansuri Swaraj,duplicate_score_max,-0.23954318,0.23954318,decreases_risk,3
Bhagirath Chaudhary,cost_deviation_pct_mean,-3.4988923,3.4988923,decreases_risk,1
Bhagirath Chaudhary,num_works,-0.37686807,0.37686807,decreases_risk,2
Bhagirath Chaudhary,collusion_score_max,0.26960272,0.26960272,increases_risk,3
Bharatsinhji Shankarji Dabhi,cost_deviation_pct_mean,-3.441517,3.441517,decreases_risk,1
Bharatsinhji Shankarji Dabhi,num_works,-0.47374192,0.47374192,decreases_risk,2
Bharatsinhji Shankarji Dabhi,sor_match_confidence_mean,-0.27821314,0.27821314,decreases_risk,3
Bhola Singh,duplicate_score_max,-0.39627054,0.39627054,decreases_risk,1
Bhola Singh,cost_deviation_pct_max,-0.3305492,0.3305492,decreases_risk,2
Bhola Singh,num_months,-0.29938924,0.29938924,decreases_risk,3
Bidyut Baran Mahato,cost_deviation_pct_mean,-3.0386953,3.0386953,decreases_risk,1
Bidyut Baran Mahato,cost_deviation_pct_max,-2.6300619,2.6300619,decreases_risk,2
Bidyut Baran Mahato,num_works,0.85244936,0.85244936,increases_risk,3
C R Patil,cost_deviation_pct_mean,0.94646007,0.94646007,increases_risk,1
C R Patil,cost_deviation_pct_max,-0.33531478,0.33531478,decreases_risk,2
C R Patil,num_months,-0.31275842,0.31275842,decreases_risk,3
C.M.RAMESH,cost_deviation_pct_mean,-2.9006402,2.9006402,decreases_risk,1
C.M.RAMESH,cost_deviation_pct_max,0.89131564,0.89131564,increases_risk,2
C.M.RAMESH,num_works,-0.6966399,0.6966399,decreases_risk,3
CAPTAIN BRIJESH CHOWTA,cost_deviation_pct_mean,-2.1007957,2.1007957,decreases_risk,1
CAPTAIN BRIJESH CHOWTA,cost_deviation_pct_max,-0.2853036,0.2853036,decreases_risk,2
CAPTAIN BRIJESH CHOWTA,collusion_score_max,-0.2636065,0.2636065,decreases_risk,3
CAPTAIN VIRIATO FERNANDES,cost_deviation_pct_mean,-3.4466188,3.4466188,decreases_risk,1
CAPTAIN VIRIATO FERNANDES,cost_deviation_pct_max,0.8627299,0.8627299,increases_risk,2
CAPTAIN VIRIATO FERNANDES,num_works,-0.38496673,0.38496673,decreases_risk,3
CHAMALA KIRAN KUMAR REDDY,cost_deviation_pct_mean,-2.1983094,2.1983094,decreases_risk,1
CHAMALA KIRAN KUMAR REDDY,anomaly_score_max,0.3569438,0.3569438,increases_risk,2
CHAMALA KIRAN KUMAR REDDY,num_works,-0.3199125,0.3199125,decreases_risk,3
CHANDAN CHAUHAN,num_works,2.1117413,2.1117413,increases_risk,1
CHANDAN CHAUHAN,cost_deviation_pct_mean,-1.9453962,1.9453962,decreases_risk,2
CHANDAN CHAUHAN,cost_deviation_pct_max,1.1669879,1.1669879,increases_risk,3
CHANDRA SHEKHAR,cost_deviation_pct_mean,1.309776,1.309776,increases_risk,1
CHANDRA SHEKHAR,anomaly_score_max,0.47093105,0.47093105,increases_risk,2
CHANDRA SHEKHAR,cost_deviation_pct_max,-0.24725841,0.24725841,decreases_risk,3
CHANDUBHAI CHHAGANBHAI SHIHORA,cost_deviation_pct_mean,-3.5932333,3.5932333,decreases_risk,1
CHANDUBHAI CHHAGANBHAI SHIHORA,cost_deviation_pct_max,0.5881918,0.5881918,increases_risk,2
CHANDUBHAI CHHAGANBHAI SHIHORA,num_works,-0.41699854,0.41699854,decreases_risk,3
