MP Name,Trend_Anomaly_Score,Fund_Dump_Anomaly
BALWANT BASWANT WANKHADE,0,False
BALYA MAMA SURESH GOPINATH MHATRE,0,False
BAPI HALDAR,0,False
BASAVARAJ BOMMAI,0,False
BASTIPATI NAGARAJU PANCHALINGALA,0,False
BHAJAN LAL JATAV,0,False
BHARAT SINGH KUSHWAH,0,False
BHARATBHAI MANUBHAI SUTARIYA,0,False
BHARTI PARDHI,0,False
BHASKAR MURLIDHAR BHAGARE,0,False
BHAUSAHEB RAJARAM WAKCHAURE,0,False
BHOJRAJ NAG,0,False
BHUMARE SANDIPANRAO ASARAM,0,False
BHUPENDER YADAV,0,False
BIBHU PRASAD TARAI,0,False
BIJULI KALITA MEDHI,0,False
BIPLAB KUMAR DEB,0,False
BISHNU PADA RAY,0,False
BRIJENDRA SINGH OLA,0,False
BRIJMOHAN AGRAWAL,0,False
BUNTY VIVEK SAHU,0,False
Balashowry Vallabbhaneni,0,False
Bansuri Swaraj,0,False
Bhagirath Chaudhary,0,False
Bharatsinhji Shankarji Dabhi,0,False
Bhola Singh,0,False
Bidyut Baran Mahato,0,False
C R Patil,0,False
C.M.RAMESH,0,False
CAPTAIN BRIJESH CHOWTA,0,False
CAPTAIN VIRIATO FERNANDES,0,False
CHAMALA KIRAN KUMAR REDDY,0,False
CHANDAN CHAUHAN,0,False
CHANDRA SHEKHAR,0,False
CHANDUBHAI CHHAGANBHAI SHIHORA,0,False
CHARANJIT SINGH CHANNI,0,False
CHHATRA PAL SINGH GANGWAR,0,False
CHHATRAPATI SHAHU SHAHAJI,0,False
CHHOTELAL,0,False
CHINTAMANI MAHARAJ,0,False
CHIRAG PASWAN,0,False
CN Annadurai,0,False
Chandra Prakash Joshi,0,False
D M Kathir Anand,0,False
D Ravikumar ,0,False
DAGGUMALLA PRASADA RAO,0,False
DAMODAR AGARWAL,0,False
DAROGA PRASAD SAROJ,0,False
DARSHAN SINGH CHOUDHARY,0,False
DEEPENDER SINGH HOODA,0,False
DEVESH CHANDRA THAKUR,0,False
DEVESH SHAKYA,0,False
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,0,False
DHARMENDRA PRADHAN,0,False
DHARMENDRA YADAV,0,False
DHAVAL LAXMANBHAI PATEL,0,False
DINESHBHAI MAKWANA,0,False
DR BYREDDY SHABARI,0,False
DR C N MANJUNATH,0,False
DR DHARAMVIRA GANDHI,0,False
DR KALGE SHIVAJI BANDAPPA,0,False
DR RAJKUMAR SANGWAN,0,False
DR RANI SRI KUMAR,0,False
DR. HEMANG JOSHI,0,False
DR. HEMANT VISHNU SAVARA,1,True
DR. KIRSAN NAMDEO,0,False
DR. LATA WANKHEDE,0,False
DR. M.P ABDUSSAMAD SAMADANI,0,False
DR. MANSUKH MANDAVIYA,0,False
DR. PRABHA MALLIKARJUN,0,False
DR. PRASHANT YADAORAO PADOLE,0,False
DR. RAJ KUMAR CHABBEWAL,0,False
DR. RAJESH MISHRA,0,False
DR. S P SINGH,0,False
DR. SHARMILA SARKAR,0,False
DR.K.SUDHAKAR,0,False
DR.MALLU RAVI,0,False
DULU MAHATO,0,False
DURAI VAIKO,0,False
Daggubati Purandeshwari,0,False
Devendra Alias Bhole Singh,0,False
Devusinh Jesingbhai Chauhan,0,False
Dhairyasheel Sambhajirao Mane,0,False
Dileshwar Kamait ,0,False
Dilip Saikia,0,False
Dinesh Chandra Yadav,0,False
Dr Chandra Sekhar Pemmasani,4,True
Dr Jayanta Kumar Roy,0,False
Dr Mohammad Jawed,0,False
Dr Shashi Tharoor,4,True
Dr Sukanta Majumdar ,1,True
Dr. Ajeet Madhavrao Gopchade (2024-30),0,False
Dr. Anil Sukhdeorao Bonde (2022-28),0,False
Dr. Ashok Kumar Mittal (2022-28),0,False
Dr. Bhim Singh (2024-30),0,False
Dr. Dharmasthala Veerendra Heggade (2022-28),0,False
Dr. Dharmshila Gupta (2024-30),0,False
Dr. Dinesh Sharma (2023-26),0,False
Dr. Faiyaz Ahmad (2022-28),0,False
Dr. John Brittas (2021-27),0,False
Dr. K. Laxman (2022-28),0,False
Dr. Kalpana Saini (2022-28),0,False
Dr. Kavita Patidar (2022-28),0,False
Dr. L. Murugan (2024-30),0,False
Dr. Laxmikant Bajpayee (2022-28),1,True
Dr. M. Dhanapal (2025-31),0,False
Dr. Medha Vishram Kulkarni (2024-30),0,False
Dr. Parmar Jashvantsinh Salamsinh (2024-30),0,False
Dr. Radha Mohan Das Agrawal (2022-28),0,False
Dr. Sandeep Kumar Pathak (2022-28),0,False
Dr. Sangeeta Balwant (2024-30),0,False
Dr. Sarfraz Ahmad (2024-30),0,False
Dr. Sasmit Patra (2022-28),0,False
Dr. Sikander Kumar (2022-28),0,False
Dr. Sudhanshu Trivedi (2024-30),0,False
Dr. Syed Naseer Hussain (2024-30),0,False
Dr. V. Sivadasan (2021-27),1,True
Dr. Vikramjit Singh Sahney (2022-28),0,False
Durga Das Uikey ,0,False
Dushyant Singh,0,False
E. TUKARAM,0,False
E.T. MOHAMMED BASHEER,0,False
EATALA RAJENDER,0,False
ESWARASAMY K,0,False
Faggan Singh Kulaste,0,False
G. KUMAR NAIK,0,False
GAIKWAD VARSHA EKNATH,0,False
GANAPATHY RAJKUMAR P,0,False
GAURAV GOGOI,0,False
GENIBEN NAGAJI THAKOR,0,False
GM Harish Balayogi,0,False
GODAM NAGESH,0,False
GOPINATH K,0,False
GOVIND MAKTHAPPA KARJOL,0,False
GURMEET SINGH MEET HAYER,0,False
Gajendra Singh Patel,0,False
Gajendra Singh Shekhawat,0,False
Ganesan Selvam,0,False
Ganesh Singh,0,False
Giridhari Yadav,1,True
Giriraj Singh,0,False
Gumma Thanuja Rani,0,False
Gyaneshwar Patil,0,False
H.D. KUMARASWAMY,0,False
HARENDRA SINGH MALIK,0,False
HARIBHAI PATEL,0,False
Harsh Malhotra,0,False
Hasmukh Bhai Soma Bhai Patel,0,False
IMRAN MASOOD,0,False
IQRA CHOUDHARY,0,False
ISHA KHAN CHOUDHURY,0,False
Indra Hang Subba,0,False
JAGADISH CHANDRA BARMA BASUNIA,0,False
JAGADISH SHETTAR,2,True
JAI PARKASH,0,False
JASHUBHAI BHILUBHAI RATHVA,0,False
JITAN RAM MANJHI,0,False
JITENDRA KUMAR DOHARE,0,False
JITIN PRASADA,0,False
JOBA MAJHI,0,False
JOYANTA BASUMATARY,0,False
JUNE MALIAH,0,False
JYOTIRADITYA M. SCINDIA,0,False
Jagannath Sarkar,0,False
Jagdambika Pal,0,False
Jai Prakash,0,False
Janardan Mishra,0,False
Jaswantsinh Sumanbhai Bhabhor,0,False
Jitendra Singh,0,False
Jyotsna Charandas Mahant ,0,False
K E PRAKASH,0,False
K RADHAKRISHNAN,0,False
K Subbarayan,0,False
K. C VENUGOPAL,0,False
K. RAJASHEKAR BASAVARAJ HITNAL,0,False
KADIYAM KAVYA,0,False
KALI CHARAN MUNDA,0,False
KALI CHARAN SINGH,0,False
KALIPADA SAREN,0,False
KALYAN VAIJINATHRAO KALE,0,False
KAMAKHYA PRASAD TASA,0,False
KAMLESH JANGDE,0,False
KANWAR SINGH TANWAR,0,False
KARAN BHUSHAN SINGH,0,False
KARTICK CHANDRA PAUL,0,False
KISHORI LAL,0,False
KONDA VISHWESHWAR REDDY,0,False
KOTA SRINIVAS POOJARY,0,False
KRISHNA DEVI SHIVSHANKER PATEL,0,False
KRITI DEVI DEBBARMAN,1,True
KULDEEP INDORA,0,False
KUNDURU RAGHUVEER,0,False
Kakoli Ghosh Dastidar ,0,False
Kalanidhi Veeraswamy,0,False
Kalyan Banerjee,0,False
Kamaljeet Sehrawat,0,False
Kamlesh Paswan,0,False
Kangana Ranaut,0,False
Kani K Navas,0,False
Kanimozhi Karunanidhi,0,False
Kaushalendra Kumar,0,False
Khagen Murmu,0,False
Khalilur Rahaman ,0,False
Kinjarapu Ram Mohan Naidu,0,False
Kiren Rijiju,0,False
Kirti Vardhan Singh,0,False
Kishan Reddy Gangapuram,0,False
Kripanath Mallah,0,False
Krishan Pal Gurjar,0,False
Krishna Prasad Tenneti,0,False
LALJI VERMA,0,False
LAXMIKANT PAPPU NISHAD,5,True
LOVELY ANAND,0,False
LUMBARAM,0,False
Lavu Sri Krishna Devarayalu,0,False
M. MALLESH BABU,0,False
M.K. VISHNUPRASAD,0,False
MADHAVANENI RAGHUNANDAN RAO,0,False
MAHESH KASHYAP,0,False
MAHIMA KUMARI MEWAR,0,False
MALAIYARASAN D,0,False
MALVIKA DEVI,0,False
MALVINDER SINGH KANG,0,False
MANI. A.,0,False
MANISH TEWARI,0,False
MANJU SHARMA,0,False
MANNA LAL RAWAT,0,False
MANOHAR LAL,2,True
MANOJ KUMAR,0,False
MANOJ TIGGA,0,False
MIAN ALTAF AHMAD,0,False
MOHIBBULLAH,0,False
MOHITE PATIL DHAIRYASHEEL RAJSINH,0,False
MUHAMMED HAMDULLAH SAYEED,0,False
MUKESHKUMAR CHANDRAKAANT DALAL,0,False
MURARI LAL MEENA,0,False
MURASOLI S,0,False
MURLIDHAR MOHOL,0,False
Maddila Gurumoorthy,0,False
Magunta Sreenivasulu Reddy,0,False
Mahendra Singh Solanky,0,False
Mahesh Sharma,0,False
Mala Rajya Laxmi Shah ,0,False
Mala Roy ,0,False
Manickam Tagore B,0,False
Manoj Tiwari,0,False
Mansukhbhai Dhanjibhai Vasava,0,False
Midhun Reddy,0,False
Mitesh Rameshbhai Bakabhai Patel,0,False
Mohamed Haneefa,0,False
Mr Gopal Jee Thakur,1,True
Ms Mahua Moitra,0,False
Ms. Dola Sen (2023-29),1,True
Mukesh Rajput,0,False
NABA CHARAN MAJHI,0,False
NALIN SOREN,0,False
NARAYAN DAS AHIRWAR,0,False
NARAYAN TATU RANE,0,False
NARESH CHANDRA UTTAM PATEL,0,False
NAVEEN JINDAL,0,False
NEERAJ MAURYA,0,False
NILESH DNYANDEV LANKE,0,False
NIMUBEN JAYANTIBHAI BAMBHANIYA,0,False
Nishikant Dubey,0,False
Nitin Jairam Gadkari,0,False
Nityanand Rai,0,False
Om Birla,0,False
Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,0,False
P C Mohan,0,False
PARIMAL SUKLABAIDYA,0,False
PARSHOTTAMBHAI RUPALA,0,False
PARTHA BHOWMICK,0,False
PATHAN YUSUF,0,False
PHANI BHUSAN CHOUDHURY,0,False
PRABHAKAR REDDY VEMIREDDY,0,False
PRADEEP PUROHIT,0,False
PRANITI SUSHILKUMAR SHINDE,0,False
PRAVEEN PATEL,0,False
PRIYA SAROJ,0,False
PRIYANKA SATISH JARKIHOLI,0,False
PUSHPENDRA SAROJ,0,False
Pankaj Chowdhary,0,False
Parvatagouda Chandanagouda Gaddigoudar,0,False
Piyush Vedprakash Goyal,1,True
Prabhubhai Nagarbhai Vasava,0,False
Pradan Baruah,0,False
Pradeep Kumar Singh,0,False
Pradyut Bordoloi,0,False
Pralhad Venkatesh Joshi,0,False
Prasun Banerjee,0,False
Pratap Chandra Sarangi,0,False
Prataprao Jadhav,0,False
Pratima Mondal ,0,False
Praveen Khandelwal,0,False
Priyanka Gandhi Vadra,0,False
Prof SP Singh Baghel,0,False
Prof Sougata Ray,0,False
Prof. Manoj Kumar Jha (2024-30),0,False
Prof. Ram Gopal Yadav (2020-26),0,False
Putta Mahesh Kumar,0,False
R.K. CHAUDHARY,0,False
RABINDRA NARAYAN BEHERA,0,False
RACHNA BANERJEE,0,False
RADHAKRISHNA,0,False
RADHE SHYAM RATHIYA,0,False
RAHUL GANDHI,0,False
RAHUL SINGH LODHI,0,False
RAJ BHUSHAN CHOUDHARY,0,False
RAJ KUMAR ROAT,0,False
RAJA RAM SINGH,0,False
RAJABHAU,0,False
RAJEEV BHARDWAJ,0,False
RAJEEV RAI,0,False
RAJESH RANJAN ALIAS PAPPU YADAV,1,True
RAJESH VERMA,0,False
RAJPALSINH MAHENDRASINH JADAV,0,False
RAKESH RATHOR,0,False
RAKIBUL HUSSAIN,0,False
RAM PRASAD CHAUDHARY,0,False
RAMASAHAYAM RAGHURAM REDDY,0,False
RAMASHANKAR RAJBHAR,0,False
RAMBHUAL NISHAD,0,False
RAMESH AWASTHI,1,True
RANJIT DUTTA,0,False
RAVINDRA DATTARAM WAIKAR,1,True
RICHARD VANLALHMANGAIHA,0,False
ROBERT BRUCE C,0,False
ROOP KUMARI CHOUDHARY,4,True
RUCHI VIRA,0,False
RUDRA NARAYAN PANY,0,False
Radha Mohan Singh,0,False
Rahul Kaswan,0,False
Rajeshbhai Naranbhai Chudasama,0,False
Rajkumar Chahar ,0,False
Rajnath Singh,0,False
Raju Bista,0,False
Ram Shiromani,0,False
Ramesh Chandappa Jigajinagi,0,False
Ramprit Mandal,0,False
Ramvir Singh Bidhuri,0,False
Rao Inderjit Singh,0,False
Rao Rajendra Singh,0,False
Ravi Shankar Prasad,0,False
Ravindra Shyamnarayan Alias Ravi Kishan Shukla,0,False
Ravindra Vasantrao Chavan,0,False
Rodmal Nagar ,0,False
S SUPONGMEREN JAMIR,0,False
S Venkatesan,0,False
S. Jagathrakshakan,0,False
SACHITHANANTHAM R,0,False
SAGAR ESHWAR KHANDRE,0,False
SALENG A SANGMA,0,False
SAMBIT PATRA,0,False
SANATAN PANDEY,0,False
SANJAY DINA PATIL,0,False
SANJNA JATAV,0,False
SARABJEET SINGH KHALSA,0,False
SATPAL BRAHAMCHARI,0,False
SAVITRI THAKUR,0,False
SAYANI GHOSH,0,False
SELJA,1,True
SELVAGANAPATHI T M,0,False
SELVARAJ V,0,False
SHAFI PARAMBIL,0,False
SHAMBHAVI,0,False
SHASHANK MANI,0,False
SHER SINGH GHUBAYA,0,False
SHIVMANGAL SINGH TOMAR,0,False
SHIVRAJ SINGH CHOUHAN,0,False
SHOBHA KARANDLAJE,0,False
SHOBHANABEN MAHENDRASINH BARAIYA,0,False
SHREYAS. M. PATEL,0,False
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,0,False
SK NURUL ISLAM,0,False
SMITA UDAY WAGH,0,False
SUDAMA PRASAD,0,False
SUDHA R,0,False
SUDHAKAR SINGH,0,False
SUKANTA KUMAR PANIGRAHI,0,False
SUKHDEO BHAGAT,0,False
SUKHJINDER SINGH RANDHAWA,0,False
SUNIL BOSE,1,True
SURENDRA PRASAD YADAV,0,False
SURESH GOPI,0,False
SURESH KUMAR SHETKAR,0,False
Sanjay Haribhau Jadhav,0,False
Sanjay Kumar Bandi,0,False
Sanjay Seth ,0,False
Sanjay Uttamrao Deshmukh,0,False
Santosh Pandey,0,False
Saptagiri Sankar Ulaka,0,False
Sasikanth Senthil,0,False
Saumitra khan ,0,False
Shankar Lalwani,0,False
Shatrughan Sinha,0,False
Shri  Dharambir Singh,0,False
Shri A. A. Rahim (2022-28),0,False
Shri Abdul Wahab (2021-27),0,False
Shri Abhishek Banerjee,0,False
Shri Aditya Prasad (2022-28),0,False
Shri Ajay Makan (2024-30),0,False
Shri Akhilesh Prasad Singh (2024-30),0,False
Shri Amar Pal Maurya (2024-30),0,False
Shri Amar Singh,0,False
Shri Amit Shah,0,False
Shri Anil Firojiya,0,False
Shri Anil Kumar Yadav Mandadi (2024-30),0,False
Shri Arjun Ram Meghwal,0,False
Shri Arun Kumar Sagar ,0,False
Shri Arun Singh (2020-26),0,False
Shri Ashok Singh (2024-30),0,False
Shri Ashokrao Shankarrao Chavan (2024-30),0,False
Shri Ashwini Vaishnaw (2024-30),1,True
Shri B Y Raghavendra ,0,False
Shri B. Parthasaradhi Reddy (2022-28),0,False
Shri B.L. Verma (2020-26),0,False
Shri Babubhai Jesangbhai Desai (2023-29),0,False
Shri Baburam Nishad (2022-28),0,False
Shri Balyogi Umeshnath (2024-30),0,False
Shri Banshilal Gurjar (2024-30),0,False
Shri Benny Behanan,0,False
Shri Bhartruhari Mahtab,0,False
Shri Birendra Prasad Baishya (2025-31),0,False
Shri Brij Lal (2020-26),0,False
Shri Chandra Prakash Choudhary,0,False
Shri Chandrakant Damodar Handore (2024-30),0,False
Shri Chunnilal Garasiya (2024-30),0,False
Shri Damodar Rao Divakonda (2022-28),0,False
Shri Deepak (Dev) Adhikari ,0,False
Shri Derek O' Brien (2023-29),0,False
Shri Devendra Pratap Singh (2024-30),0,False
Shri Dhananjay Bhimrao Mahadik (2022-28),5,True
Shri Dorjee Tshering Lepcha (2024-30),0,False
Shri G.C. Chandrashekhar (2024-30),0,False
Shri Ghanshyam Tiwari (2022-28),0,False
Shri Golla Baburao (2024-30),0,False
Shri Govindbhai Laljibhai Dholakia (2024-30),0,False
Shri Gulam Ali (2022-28),0,False
Shri Gurjeet Singh Aujla,0,False
Shri Hanuman Beniwal,0,False
Shri Harbhajan Singh (2022-28),0,False
Shri Hardeep Singh Puri (2020-26),0,False
Shri Haris Beeran (2024-30),0,False
Shri Harsh Mahajan (2024-30),0,False
Shri Hibi Eden,0,False
Shri I.S. Inbadurai (2025-31),0,False
Shri Ilaiyaraaja (2022-28),0,False
Shri Imran Pratapgarhi (2022-28),0,False
Shri Jagat Prakash Nadda (2024-30),0,False
Shri Jaggesh (2022-28),0,False
Shri Jairam Ramesh (2022-28),0,False
Shri Janardan Singh Sigriwal ,0,False
Shri Javed Ali Khan (2022-28),0,False
Shri Jayant Chaudhary (2022-28),0,False
Shri Jogen Mohan (2026-32),0,False
Shri Jose K. Mani (2024-30),0,False
Shri Jual Oram,0,False
Shri Jugal Kishore Sharma,0,False
Shri Jyotirmay Singh Mahato ,0,False
Shri K.R.N. Rajeshkumar (2022-28),0,False
Shri Kanad Purkayastha (2025-31),0,False
Shri Kapil Sibal (2022-28),0,False
Shri Karti P Chidambaram ,0,False
Shri Kartikeya Sharma (2022-28),0,False
Shri Kesridevsinh Jhala (2023-29),1,True
Shri Khiru Mahto (2022-28),0,False
Shri Kumbakudi Sudhakaran,0,False
Shri LS Tejasvi Surya ,0,False
Shri Lahar Singh Siroya (2022-28),0,False
Shri M K Raghavan,0,False
Shri Madan Rathore (2024-30),0,False
Shri Mahendra Bhatt (2024-30),1,True
Shri Manan Kumar Mishra (2024-28),0,False
Shri Manas Ranjan Mangaraj (2022-28),0,False
Shri Masthan Rao Yadav Beedha (2024-28),0,False
Shri Mayankkumar Nayak (2024-30),0,False
Shri Meda Raghunadha Reddy (2024-30),0,False
Shri Milind Murli Deora (2024-30),0,False
Shri Mithlesh Kumar (2022-28),0,False
Shri Mohammed Nadimul Haque (2024-30),0,False
Shri Mukul Wasnik (2022-28),0,False
Shri NK Premachandran,0,False
Shri Nagendra Ray (2023-29),0,False
Shri Narain Dass Gupta (2024-30),0,False
Shri Narayanasa K. Bhandage (2024-30),0,False
Shri Narendra Modi,1,True
Shri Naresh Bansal (2020-26),0,False
Shri Naveen Jain (2024-30),0,False
Shri Neeraj Shekhar (2020-26),0,False
Shri Nitin Laxmanrao Jadhav Patil (2024-28),0,False
Shri P. Chidambaram (2022-28),0,False
Shri P. P. Suneer (2024-30),0,False
Shri P. Wilson (2025-31),0,False
Shri PP Chaudhary,0,False
Shri Pabitra Margherita (2022-28),0,False
Shri Paka Venkata Satyanarayana (2025-28),0,False
Shri Pradip Kumar Varma (2024-30),0,False
Shri Praful Patel (2024-30),0,False
Shri Pramod Tiwari (2022-28),0,False
Shri R. Dharmar (2022-28),0,False
Shri R. Girirajan (2022-28),0,False
Shri Raghav Chadha (2022-28),0,False
Shri Rajeev Shukla (2022-28),0,False
Shri Rajib Bhattacharjee (2024-28),0,False
Shri Rajmohan Unnithan ,0,False
Shri Ramji (2020-26),0,False
Shri Ramji Lal Suman (2024-30),0,False
Shri Randeep Singh Surjewala (2022-28),0,False
Shri Ratanjit Pratap Narain Singh (2024-30),0,False
Shri Ravi Chandra Vaddiraju (2024-30),0,False
Shri Rwngwra Narzary (2022-28),0,False
Shri Ryaga Krishnaiah (2024-28),0,False
Shri S Niranjan Reddy (2022-28),0,False
Shri S. Jaishankar (2023-29),0,False
Shri S. Kalyanasundaram (2022-28),0,False
Shri S. Selvaganabathy (2021-27),0,False
Shri S.R. Sivalingam (2025-31),0,False
Shri Sadanand Mhalu Shet Tanavade (2023-29),1,True
Shri Samik Bhattacharya (2024-30),0,False
Shri Samirul Islam (2023-29),0,False
Shri Sandosh Kumar P (2022-28),0,False
Shri Sanjay Kumar Jha (2024-30),0,False
Shri Sanjay Raut (2022-28),0,False
Shri Sanjay Seth (2024-30),0,False
Shri Sanjay Singh (2024-30),0,False
Shri Sant Balbir Singh (2022-28),0,False
Shri Sarbananda Sonowal (18LS),1,True
Shri Satish Chandra Dubey (2022-28),0,False
Shri Satish Kumar Gautam ,0,False
Shri Satnam Singh Sandhu (2024-30),0,False
Shri Shambhu Sharan Patel (2022-28),0,False
Shri Shantanu Thakur ,0,False
Shri Subhash Barala (2024-30),0,False
Shri Subhasish Khuntia (2024-30),0,False
Shri Sudheer Gupta ,0,False
Shri Surendra Singh Nagar (2022-28),0,False
Shri Suresh Kodikunnil,0,False
Shri Tapir Gao,0,False
Shri Tejveer Singh (2024-30),0,False
Shri V. Vijayendra Prasad (2022-28),0,False
Shri Vivek K. Tankha (2022-28),0,False
Shri Yerram Venkata Subba Reddy (2024-30),0,False
Shri vijayakumar Vasanth,0,False
Shrikant Eknath Shinde,0,False
Shripad Yesso Naik,0,False
Shrirang Appa Barne,0,False
Shyamkumar,0,False
Sivanath Kesineni,0,False
Smt Anupriya Patel,0,False
Smt Aparajita Sarangi,1,True
Smt Dimple Yadav,0,False
Smt Harsimrat Kaur Badal,0,False
Smt Hema Malini,0,False
Smt Himadri Singh,0,False
Smt Poonamben Hematbhai Maadam,0,False
Smt Raksha Nikhil Khadse,0,False
Smt S Jothimani,0,False
Smt Sajda Ahmed,0,False
Smt Sandhya Ray,0,False
Smt Sangeeta Kumari Singh Deo,0,False
Smt Satabdi Roy (Banerjee),0,False
Smt Supriya Sadanand Sule,0,False
Smt Veena Devi ,1,True
Smt. Adhikarimayum Sharda Devi (2026-32),0,False
Smt. Darshana Singh (2022-28),0,False
Smt. Geeta alias Chandraprabha (2020-26),0,False
Smt. Jaya Amitabh Bachchan (2024-30),0,False
Smt. Jebi Mather Hisham (2022-28),0,False
Smt. Laxmi Verma (2026-32),0,False
Smt. Mahua Maji (2022-28),0,False
Smt. Mamata Thakur (2024-30),2,True
Smt. Maya Naroliya (2024-30),0,False
Smt. Nirmala Sitharaman (2022-28),0,False
Smt. P. T. Usha (2022-28),0,False
Smt. Phulo Devi Netam (2026-32),0,False
Smt. Rajathi (2025-31),0,False
Smt. Ranjeet Ranjan (2022-28),0,False
Smt. Rekha Sharma (2024-28),1,True
Smt. Renuka Chowdhury (2024-30),0,False
Smt. S. Phangnon Konyak (2022-28),0,False
Smt. Sadhna Singh (2024-30),0,False
Smt. Sagarika Ghose (2024-30),0,False
Smt. Sangeeta Yadav (2022-28),1,True
Smt. Seema Dwivedi (2020-26),0,False
Smt. Sonia Gandhi (2024-30),0,False
Smt. Sudha Murty (2024-30),0,False
Smt. Sulata Deo (2022-28),0,False
Smt. Sumitra Balmik (2022-28),0,False
Sribharat MathuKumli,0,False
Sudip Bandyopadhyay,0,False
Sunil Dattatray Tatkare,0,False
Sunil Kumar ,0,False
Suresh Kumar Kashyap,0,False
Swami Sachchidanandhari Sakshi ji Maharaj ,0,False
T Sumathy (A) Thamizhachi Thangapandian ,0,False
TANGELLA UDAY SRINIVAS,0,False
TANUJ PUNIA,0,False
TARIQ ANWAR,0,False
THANGA TAMILSELVAN,0,False
THARANIVENTHAN M S,0,False
TOKHAN SAHU,0,False
TRIVENDRA SINGH RAWAT,0,False
Thalikkottai Rajuthevar Baalu,0,False
Thiru Dayanidhi Maran,0,False
Thirumaa Valavan Thol,0,False
UJJWAL RAMAN SINGH,0,False
UMMEDA RAM BENIWAL,0,False
UTKARSH VERMA MADHUR,0,False
V S Matheswaran,0,False
V. SOMANNA,0,False
VAMSI KRISHNA GADDAM,0,False
VARUN CHAUDHRY,0,False
VIJAYLAKSHMI DEVI,0,False
VINOD KUMAR BIND,0,False
VIRENDRA SINGH,0,False
VISHAL,0,False
VISHWESHWAR HEGDE KAGERI,0,False
VIVEK THAKUR,0,False
Vaithilingam Ve,0,False
Vellalath Kochukrishnan Nair Sreekandan,0,False
Vijay Baghel,0,False
Vijay Kumar Dubey,0,False
Vijay Kumar Hansdak,0,False
Vinod Chavda,0,False
Virendra Kumar,0,False
Vishnu Dayal Ram,0,False
Vishnu Dutt Sharma,0,False
Y S Avinash Reddy,0,False
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,0,False
Yogendra Chandoliya,0,False
ZIA UR REHMAN,0,False
