MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score,Trend_Anomaly_Score,Fund_Dump_Anomaly,Constituency,Isolation_Forest_Anomaly,Is_Ghost_Work,True_Fraud_Label,Final_Risk_Probability,Composite_Risk_Score,Primary_Risk_Driver
AJENDRA SINGH LODHI,KUNAL TRADERS,25.26,False,False,False,False,0.0,0,False,HAMIRPUR,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
AKHILESH YADAV,MS BHARTIYA CONSTRUCTION,14.46,False,False,False,False,0.0,0,False,KANNAUJ,0.0,0.0,0,0.0048430096,0.48,None
AKSHAYA YADAV,MS RAJ KAMAL CONSTRUCTIONS,72.76,True,False,False,False,1.0,0,False,FIROZABAD,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
ALFRED KANNGAM S ARTHUR,Raman Chihansung,49.44,False,False,False,False,0.0,0,False,OUTER MANIPUR,0.0,0.0,0,0.0048430096,0.48,None
ALOK SHARMA,MP STATE COOPERATIVE MARKETING FEDERATION LTD,7.88,False,False,False,False,0.0,0,False,BHOPAL,0.0,4.0,1,0.9970304,99.7,Is_Ghost_Work
AMAR SHARADRAO KALE,President Pragati Majoor Sahakari Sanstha Ltd,17.61,False,False,False,False,0.0,0,False,WARDHA,0.0,0.0,0,0.0048430096,0.48,None
AMARSING TISSO,James Phangcho,24.97,False,False,False,False,0.0,0,False,Diphu,0.0,0.0,0,0.0048430096,0.48,None
AMBICA G LAKSHMINARAYANA VALMIKI,Pasuparthi Hareesh,37.05,False,False,False,False,0.0,0,False,ANANTAPUR,0.0,0.0,0,0.0048430096,0.48,None
AMRARAM,Dhaka Stone Comapny,8.26,False,False,False,False,0.0,0,False,SIKAR,0.0,0.0,0,0.0048430096,0.48,None
AMRINDER SINGH RAJA WARRING,Garden Gym,13.46,False,False,False,False,0.0,0,False,LUDHIANA,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
ANAND BHADAURIYA,MANNAT CONSTRUCTION,61.57,False,False,False,False,0.0,0,False,DHAURAHRA,0.0,15.0,1,0.9970304,99.7,Is_Ghost_Work
ANAND KUMAR,0,0.0,0,0,0,0,0.0,0,False,BAHRAICH,0.0,0.0,0,0.0048430096,0.48,None
ANANTA NAYAK,JAYANTA KUMAR JENA,13.72,False,False,False,False,0.0,0,False,KEONJHAR,0.0,0.0,0,0.0048430096,0.48,None
ANDREW J. SYNGKON,Rani Motors,3.36,False,False,False,False,0.0,0,False,SHILLONG,0.0,0.0,0,0.0048430096,0.48,None
ANGOMCHA BIMOL AKOIJAM,Murphy Thumrah,86.91,True,False,False,False,1.0,0,False,INNER MANIPUR,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
ANIL BALUNI,DALBEER SINGH,36.42,False,False,False,False,0.0,0,False,GARHWAL,0.0,0.0,0,0.0048430096,0.48,None
ANIL YESHWANT DESAI,MS RAVI ASHOK KUNCHIKORVE,43.6,False,False,False,False,0.0,0,False,MUMBAI SOUTH CENTRAL,0.0,0.0,0,0.0048430096,0.48,None
ANITA NAGARSINGH CHOUHAN,PRACHI CONSTRUCTION,11.43,False,False,False,False,0.0,0,False,RATLAM,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
ANITA SUBHADARSHINI,SHYAMALENDU PANDA,20.13,False,False,False,False,0.0,0,False,ASKA,0.0,0.0,0,0.0048430096,0.48,None
ANOOP PRADHAN BALMIKI,JITENDRA KUMAR SINGH,34.23,False,False,False,False,0.0,0,False,HATHRAS,0.0,0.0,0,0.0048430096,0.48,None
ANUP SANJAY DHOTRE,Nishant Gulab Rathod,9.2,False,False,False,False,0.0,0,False,AKOLA,0.0,0.0,0,0.0048430096,0.48,None
ARUN BHARTI,Gyan Ganga,29.18,False,False,False,False,0.0,0,False,JAMUI,0.0,20.0,1,0.9970304,99.7,Is_Ghost_Work
ARUN GOVIL,ANUJ INTERLOCKING,16.97,False,False,False,False,0.0,0,False,MEERUT,0.0,0.0,0,0.0048430096,0.48,None
ARUN NEHRU,KSR CONSTRUCTIONS,6.76,False,False,False,False,0.0,0,False,PERAMBALUR,0.0,0.0,0,0.0048430096,0.48,None
ARUNA. D. K,VIOLET ENTERPRISES,58.57,False,False,False,False,0.0,0,False,MAHABUBNAGAR,0.0,0.0,0,0.0048430096,0.48,None
ARUP CHAKRABORTY,GOPAL CHANDRA CHOWDHURY,69.42,False,False,False,False,0.0,0,False,BANKURA,0.0,0.0,0,0.0048430096,0.48,None
ASHISH DUBEY,MP AGRO JABALPUR,37.23,False,False,False,False,0.0,0,False,JABALPUR,0.0,0.0,0,0.0048430096,0.48,None
ATUL GARG,Mittal Generator,29.18,False,False,False,False,0.0,0,False,GHAZIABAD,0.0,0.0,0,0.0048430096,0.48,None
AVIMANYU SETHI,Amiya Ku Das,8.58,False,False,False,False,0.0,0,False,BHADRAK,0.0,0.0,0,0.0048430096,0.48,None
AWADHESH PRASAD,Manoj kumar Srivastava,15.68,False,False,False,False,0.0,0,False,FAIZABAD,0.0,0.0,0,0.0048430096,0.48,None
AZAD KIRTI JHA,ASIB ENTERPRISE,17.37,False,False,False,False,0.0,0,False,BARDHAMAN-DURGAPUR,0.0,0.0,0,0.0048430096,0.48,None
Abu Taher Khan,SUPTI ENTERPRISE,52.19,False,False,False,False,0.0,0,False,MURSHIDABAD,0.0,0.0,0,0.0048430096,0.48,None
Adv Adoor Prakash ,ALLUMINA ELECTRONICS,96.73,True,False,False,False,1.0,0,False,ATTINGAL,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
Adv Dean Kuriakose,KALLOOR ELECTRONICS AND  LIGHTING PVT LTD,23.23,False,False,False,False,0.0,0,False,IDUKKI,0.0,0.0,0,0.0048430096,0.48,None
Ajay Bhatt,MOHD ASSIF,4.65,False,False,False,False,0.0,0,False,NAINITAL UDHAM SINGH NAG.,0.0,6.0,1,0.9970304,99.7,Is_Ghost_Work
Ajay Kumar Mandal,SHIV DURGA INDUSTRIES,56.35,False,False,False,False,0.0,0,False,BHAGALPUR,0.0,0.0,0,0.0048430096,0.48,None
Ajay Tamta,LAL SINGH JALAL,23.05,False,False,False,False,0.0,0,False,ALMORA,0.0,0.0,0,0.0048430096,0.48,None
Alok Kumar Suman,BIDP INDIA PRIVATE LIMITED,38.37,False,False,False,False,0.0,0,False,GOPALGANJ,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
Amol Ramsing Kolhe,NAGSHWAR MAJOOR SAHKARI SANSTHA LTD,13.92,False,False,False,False,0.0,0,False,SHIRUR,0.0,0.0,0,0.0048430096,0.48,None
Andimuthu Raja,C Chithambaram,7.69,False,False,False,False,0.0,0,False,NILGIRIS,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Annpurna Devi ,EXECUTIVE ENGINER NREP GIRIDIH,54.21,False,False,False,False,0.0,0,False,KODARMA,0.0,0.0,0,0.0048430096,0.48,None
Anto Antony,M S Communication,42.47,False,False,False,False,0.0,0,False,PATHANAMTHITTA,0.0,0.0,0,0.0048430096,0.48,None
Anurag Sharma ,AADITYA VAIDHYA,20.64,False,False,False,False,0.0,0,False,JHANSI,0.0,0.0,0,0.0048430096,0.48,None
Anurag Singh Thakur,BDO pragpur,8.25,False,False,False,False,0.0,0,False,HAMIRPUR,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Appalanaidu Kalisetti,SVSST INFRASTRUCTURE,12.28,False,False,False,False,0.0,0,False,VIZIANAGARAM,0.0,0.0,0,0.0048430096,0.48,None
Arvind Dharmapuri,GUTHI SRINIVAS,6.98,False,False,False,False,0.0,0,False,NIZAMABAD,0.0,11.0,1,0.9970304,99.7,Is_Ghost_Work
Arvind Ganpat Sawant,Priti Infratech,27.13,False,False,False,False,0.0,0,False,MUMBAI SOUTH,0.0,0.0,0,0.0048430096,0.48,None
Asaduddin Owaisi,A F Construction op by Ismail,91.87,True,False,False,False,1.0,0,False,HYDERABAD,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
Ashok Kumar Rawat,SHRI GURU KRIPA NARSINGH ASSOSIATES,30.71,False,False,False,False,0.0,0,False,MISRIKH,0.0,0.0,0,0.0048430096,0.48,None
Ashok Kumar Yadav ,BIOLUNAR ENERGY SOLUTION,44.98,False,False,False,False,0.0,1,True,MADHUBANI,0.0,0.0,1,0.95083,95.08,Trend_Anomaly_Score
Asit Kumar Mal ,BIDYUT BHANDARI,22.14,False,False,False,False,0.0,0,False,BOLPUR,0.0,0.0,0,0.0048430096,0.48,None
B K PARTHASARATHI,N Balakrishna,22.24,False,False,False,False,0.0,0,False,HINDUPUR,0.0,0.0,0,0.0048430096,0.48,None
BABU SINGH KUSHWAHA,SURAJ CONSTRUCTION,18.42,False,False,False,False,0.0,0,False,JAUNPUR,0.0,21.0,1,0.9970304,99.7,Is_Ghost_Work
BACHHAV SHOBHA DINESH,Multiplex Technologies,19.83,False,False,False,False,0.0,0,False,DHULE,0.0,0.0,0,0.0048430096,0.48,None
BAG MITALI,SN ENTERPRISE,21.27,False,False,False,False,0.0,0,False,ARAMBAG,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
BAIJAYANT PANDA,ABANI KUMAR MOHANTY,12.95,False,False,False,False,0.0,1,True,KENDRAPARA,0.0,0.0,1,0.95083,95.08,Trend_Anomaly_Score
BAJRANG MANOHAR SONWANE,Hosabai Mahila Majoor Sahakari Sanstha Limited Sarni Aa,18.12,False,False,False,False,0.0,0,False,BEED,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
BALABHADRA MAJHI,PRDEEPTA KUMAR PANDA,16.16,False,False,False,False,0.0,0,False,NABARANGPUR,0.0,0.0,0,0.0048430096,0.48,None
BALRAM NAIK PORIKA,CARD Box Company,13.83,False,False,False,False,0.0,0,False,MAHABUBABAD,0.0,0.0,0,0.0048430096,0.48,None
BALWANT BASWANT WANKHADE,Navnit Sudhirrao Toley,6.46,False,False,False,False,0.0,0,False,AMRAVATI,0.0,0.0,0,0.0048430096,0.48,None
BALYA MAMA SURESH GOPINATH MHATRE,Hindustan Enterprises,18.56,False,False,False,False,0.0,0,False,BHIWANDI,0.0,0.0,0,0.0048430096,0.48,None
BAPI HALDAR,S K CHATTERJEE ELECTRICALS PVT LTD,6.37,False,False,False,False,0.0,0,False,MATHURAPUR,0.0,0.0,0,0.0048430096,0.48,None
BASAVARAJ BOMMAI,Bommai Zilla Nirmithi Kendra,53.97,False,False,False,False,0.0,0,False,HAVERI,0.0,0.0,0,0.0048430096,0.48,None
BASTIPATI NAGARAJU PANCHALINGALA,UMA MAHESWARA TUBE WELLS KURNOOL,26.79,False,False,False,False,0.0,0,False,KURNOOL,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
BHAJAN LAL JATAV,hariom interprizez,25.63,False,False,False,False,0.0,0,False,KARAULI-DHOLPUR,0.0,0.0,0,0.0048430096,0.48,None
BHARAT SINGH KUSHWAH,BAHUBALI ASSOCIATES,10.12,False,False,False,False,0.0,0,False,GWALIOR,0.0,0.0,0,0.0048430096,0.48,None
BHARATBHAI MANUBHAI SUTARIYA,DHARI NAGARPALIKA,2.11,False,False,False,False,0.0,0,False,AMRELI,0.0,0.0,0,0.0048430096,0.48,None
BHARTI PARDHI,DEVESH KUMAR PATLE,43.28,False,False,False,False,0.0,0,False,BALAGHAT,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
BHASKAR MURLIDHAR BHAGARE,NIKITA RATAN TAMBE,16.94,False,False,False,False,0.0,0,False,DINDORI,0.0,0.0,0,0.0048430096,0.48,None
BHAUSAHEB RAJARAM WAKCHAURE,Kailas Majur STY Ghoyagaon,12.67,False,False,False,False,0.0,0,False,SHIRDI,0.0,0.0,0,0.0048430096,0.48,None
BHOJRAJ NAG,JAISWAL WOODEN INDUSTRIES,18.06,False,False,False,False,0.0,0,False,KANKER,0.0,0.0,0,0.0048430096,0.48,None
BHUMARE SANDIPANRAO ASARAM,shri jagdamba construction,16.15,False,False,False,False,0.0,0,False,AURANGABAD,0.0,10.0,1,0.9970304,99.7,Is_Ghost_Work
BHUPENDER YADAV,ADIIVE TECHNOLOGES PRIVATE LTD,6.75,False,False,False,False,0.0,0,False,ALWAR,0.0,0.0,0,0.0048430096,0.48,None
BIBHU PRASAD TARAI,SATENDRA KUMAR SINGH,31.55,False,False,False,False,0.0,0,False,JAGATSINGHPUR,0.0,0.0,0,0.0048430096,0.48,None
BIJULI KALITA MEDHI,Construction of road from narayan kalita house to sabin boro house,3.85,False,False,False,False,0.0,0,False,GUWAHATI,0.0,0.0,0,0.0048430096,0.48,None
BIPLAB KUMAR DEB,Soumen Adhikary,21.41,False,False,False,False,0.0,0,False,TRIPURA WEST,0.0,0.0,0,0.0048430096,0.48,None
BISHNU PADA RAY,CSE Construction Pvt Ltd,23.58,False,False,False,False,0.0,0,False,ANDAMAN AND NICOBAR ISLANDS,0.0,0.0,0,0.0048430096,0.48,None
BRIJENDRA SINGH OLA,Sangeet Contractor,9.07,False,False,False,False,0.0,0,False,JHUNJHUNU,0.0,0.0,0,0.0048430096,0.48,None
BRIJMOHAN AGRAWAL,ZONE COMMISSIONER ZONE 02,5.09,False,False,False,False,0.0,0,False,RAIPUR,0.0,0.0,0,0.0048430096,0.48,None
BUNTY VIVEK SAHU,TELI SAMAJ SANGHTAN PANDURNA,3.6,False,False,False,False,0.0,0,False,CHHINDWARA,0.0,0.0,0,0.0048430096,0.48,None
Balashowry Vallabbhaneni,Sai Brothers and Co,17.27,False,False,False,False,0.0,0,False,MACHILIPATNAM,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Bansuri Swaraj,Swing Craft,22.07,False,False,False,False,0.0,0,False,NEW DELHI,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Bhagirath Chaudhary,Jai Mata Rani Construction,10.67,False,False,False,False,0.0,0,False,AJMER,0.0,0.0,0,0.0048430096,0.48,None
Bharatsinhji Shankarji Dabhi,YUG ENTERPRISE,19.28,False,False,False,False,0.0,0,False,PATAN,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Bhola Singh,M S Y  R ENTERPRISES,39.39,False,False,False,False,0.0,0,False,BULANDSHAHR,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Bidyut Baran Mahato,KANHAIYA KUMAR SINGH,48.51,False,False,False,False,0.0,0,False,JAMSHEDPUR,0.0,0.0,0,0.0048430096,0.48,None
C R Patil,SAMBHAV ENTERPRISE,9.95,False,False,False,False,0.0,0,False,NAVSARI,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
C.M.RAMESH,GRAMONNATI,28.61,False,False,False,False,0.0,0,False,ANAKAPALLE,0.0,0.0,0,0.0048430096,0.48,None
CAPTAIN BRIJESH CHOWTA,D K NIRMITHI KENDRA,9.76,False,False,False,False,0.0,0,False,DAKSHINA KANNADA,0.0,0.0,0,0.0048430096,0.48,None
CAPTAIN VIRIATO FERNANDES,SML ISUZU LTD,36.26,False,False,False,False,0.0,0,False,SOUTH GOA,0.0,0.0,0,0.0048430096,0.48,None
CHAMALA KIRAN KUMAR REDDY,DORNALA ANJAIAH,30.84,False,False,False,False,0.0,0,False,BHONGIR,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
CHANDAN CHAUHAN,SATYAVER SIGH CONTRACTOR AND SUPPLIER,26.29,False,False,False,False,0.0,0,False,BIJNOR,0.0,0.0,0,0.0048430096,0.48,None
CHANDRA SHEKHAR,MAKSUD AHMAD CONTRACTOR,28.57,False,False,False,False,0.0,0,False,NAGINA,0.0,11.0,1,0.9970304,99.7,Is_Ghost_Work
CHANDUBHAI CHHAGANBHAI SHIHORA,MSS MEDITECHNO,5.03,False,False,False,False,0.0,0,False,SURENDRANAGAR,0.0,0.0,0,0.0048430096,0.48,None
CHARANJIT SINGH CHANNI,The New Punjab Cooperative L C Society LTD,11.69,False,False,False,False,0.0,0,False,JALANDHAR,0.0,0.0,0,0.0048430096,0.48,None
CHHATRA PAL SINGH GANGWAR,ANUJ SINGHAL CONTRACTOR,55.36,False,False,False,False,0.0,0,False,BAREILLY,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
CHHATRAPATI SHAHU SHAHAJI,Kshatriya Constructions,8.86,False,False,False,False,0.0,0,False,KOLHAPUR,0.0,0.0,0,0.0048430096,0.48,None
CHHOTELAL,0,0.0,0,0,0,0,0.0,0,False,ROBERTSGANJ,0.0,0.0,0,0.0048430096,0.48,None
CHINTAMANI MAHARAJ,SANWARIYA BOREWELLS,24.4,False,False,False,False,0.0,0,False,SARGUJA,0.0,0.0,0,0.0048430096,0.48,None
CHIRAG PASWAN,DHARMVIR KUMAR,18.38,False,False,False,False,0.0,0,False,HAJIPUR,0.0,0.0,0,0.0048430096,0.48,None
CN Annadurai,T S SOLAR POWER SYSTEM,40.63,False,False,False,False,0.0,0,False,TIRUVANNAMALAI,0.0,4.0,1,0.9970304,99.7,Is_Ghost_Work
Chandra Prakash Joshi,KRISHNA BRICKS,19.76,False,False,False,False,0.0,0,False,CHITTORGARH,0.0,0.0,0,0.0048430096,0.48,None
D M Kathir Anand,VINAYAGAM ENTERPRISES,11.82,False,False,False,False,0.0,0,False,VELLORE,0.0,0.0,0,0.0048430096,0.48,None
D Ravikumar ,Sankaran,8.18,False,False,False,False,0.0,0,False,VILUPPURAM,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
DAGGUMALLA PRASADA RAO,Mr NARESH GANDHAMANENI,9.08,False,False,False,False,0.0,0,False,CHITTOOR,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
DAMODAR AGARWAL,C S TECHNOLOGIES,11.17,False,False,True,False,1.0,0,False,BHILWARA,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
DAROGA PRASAD SAROJ,VARDHAN ASSOCIATES,31.44,False,False,False,False,0.0,0,False,LALGANJ,0.0,0.0,0,0.0048430096,0.48,None
DARSHAN SINGH CHOUDHARY,Punyashila Automobiles,16.42,False,False,False,False,0.0,0,False,HOSHANGABAD,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
DEEPENDER SINGH HOODA,JOGINDER GOVT CONTRACTOR,13.46,False,False,False,False,0.0,0,False,ROHTAK,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
DEVESH CHANDRA THAKUR,AV ENTERTAINMENT,57.29,False,False,False,False,0.0,0,False,SITAMARHI,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
DEVESH SHAKYA,SOMYA CONSTRUCTION,60.33,False,False,False,False,0.0,0,False,ETAH,0.0,0.0,0,0.0048430096,0.48,None
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,NUTAN KAMGAR SAHAKARI SANSTHA,19.18,False,False,False,False,0.0,0,False,CHANDRAPUR,0.0,0.0,0,0.0048430096,0.48,None
DHARMENDRA PRADHAN,RTO SAMBALPUR,59.28,False,False,False,False,0.0,0,False,SAMBALPUR,0.0,0.0,0,0.0048430096,0.48,None
DHARMENDRA YADAV,JAI SHREE BALAJI CONSTRUCTION,12.46,False,False,False,False,0.0,0,False,AZAMGARH,0.0,0.0,0,0.0048430096,0.48,None
DHAVAL LAXMANBHAI PATEL,Swara Enterprises,46.15,False,False,False,False,0.0,0,False,VALSAD,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
DINESHBHAI MAKWANA,LABMEDICA SYSTEMS PVT LTD,63.69,False,False,False,False,0.0,0,False,AHMEDABAD WEST,0.0,0.0,0,0.0048430096,0.48,None
DR BYREDDY SHABARI,JAGADEESWARA REDDY DEKIREDDY,16.63,False,False,False,False,0.0,0,False,NANDYAL,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
DR C N MANJUNATH,PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA,48.44,False,False,False,False,0.0,0,False,BANGALORE RURAL,0.0,0.0,0,0.0048430096,0.48,None
DR DHARAMVIRA GANDHI,MK INFRA,7.02,False,False,False,False,0.0,0,False,PATIALA,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
DR KALGE SHIVAJI BANDAPPA,VISHWASAMRAT MAGASUARGIYA MAJOOR SAHAKARI SANSTHA MARYADIT,6.9,False,False,False,False,0.0,0,False,LATUR,0.0,0.0,0,0.0048430096,0.48,None
DR RAJKUMAR SANGWAN,TECHKRITI INFRATECH PVT LTD,68.23,False,False,False,False,0.0,0,False,BAGHPAT,0.0,0.0,0,0.0048430096,0.48,None
DR RANI SRI KUMAR,R R BUILDERS,19.91,False,False,False,False,0.0,0,False,TENKASI,0.0,2.0,1,0.9970304,99.7,Is_Ghost_Work
DR. HEMANG JOSHI,NEELAM CONSTRUCTION,8.14,False,False,False,False,0.0,0,False,VADODARA,0.0,0.0,0,0.0048430096,0.48,None
DR. HEMANT VISHNU SAVARA,TEERTHRAJ VISHWANATH PATIL,15.27,False,False,False,False,0.0,1,True,PALGHAR,0.0,0.0,1,0.95083,95.08,Trend_Anomaly_Score
DR. KIRSAN NAMDEO,SAMIR RAMKRUSHNA TAJNE,25.74,False,False,False,False,0.0,0,False,GADCHIROLI-CHIMUR,0.0,0.0,0,0.0048430096,0.48,None
DR. LATA WANKHEDE,MANISH FEBRICATION,16.43,False,False,False,False,0.0,0,False,SAGAR,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
DR. M.P ABDUSSAMAD SAMADANI,Mahindra and Mahindra Ltd,10.51,False,False,False,False,0.0,0,False,PONNANI,0.0,0.0,0,0.0048430096,0.48,None
DR. MANSUKH MANDAVIYA,MSS MEDITECHNO,16.87,False,False,False,False,0.0,0,False,PORBANDAR,0.0,0.0,0,0.0048430096,0.48,None
DR. PRABHA MALLIKARJUN,NIRMITHI KENDRA DAVANGERE,97.83,True,False,False,False,1.0,0,False,DAVANAGERE,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
DR. PRASHANT YADAORAO PADOLE,GRAM PANCHAYAT CHANDORI,7.64,False,False,False,False,0.0,0,False,BHANDARA-GONDIYA,0.0,0.0,0,0.0048430096,0.48,None
DR. RAJ KUMAR CHABBEWAL,Varinder Kumar Sood,6.04,False,False,False,False,0.0,0,False,HOSHIARPUR,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
DR. RAJESH MISHRA,SADGURU SAI INFRA WORLD PVT LTD REWA,32.54,False,False,False,False,0.0,0,False,SIDHI,0.0,10.0,1,0.9970304,99.7,Is_Ghost_Work
DR. S P SINGH,JAI PRAKASH,42.26,False,False,False,False,0.0,0,False,PRATAPGARH,0.0,0.0,0,0.0048430096,0.48,None
DR. SHARMILA SARKAR,TECHNO BEST,15.29,False,False,False,False,0.0,0,False,BARDHAMAN PURBA,0.0,0.0,0,0.0048430096,0.48,None
DR.K.SUDHAKAR,NIRMITHI KENDRA BANGALORE RURAL DISTRICT,36.18,False,False,False,False,0.0,0,False,CHIKBALLAPUR,0.0,0.0,0,0.0048430096,0.48,None
DR.MALLU RAVI,Mohammed Hassan Ahemed,18.21,False,False,False,False,0.0,0,False,NAGARKURNOOL,0.0,4.0,1,0.9970304,99.7,Is_Ghost_Work
DULU MAHATO,BIRENDRA KUMAR MAHATO,75.97,True,False,False,False,1.0,0,False,DHANBAD,0.0,0.0,0,0.018327957,1.83,Collusion_Risk_Score
DURAI VAIKO,C S R CONSTRUCTION,10.53,False,False,False,False,0.0,0,False,TIRUCHIRAPPALLI,0.0,0.0,0,0.0048430096,0.48,None
Daggubati Purandeshwari,KANDAVALLI BUTCHAMMA,48.89,False,False,False,False,0.0,0,False,RAJAHMUNDRY,0.0,0.0,0,0.0048430096,0.48,None
Devendra Alias Bhole Singh,Ms GANPATI CONSTRUCTIONS,52.44,False,False,False,False,0.0,0,False,AKBARPUR,0.0,0.0,0,0.0048430096,0.48,None
Devusinh Jesingbhai Chauhan,BHUVALDI GRAM PANCHAYAT,2.75,False,False,False,False,0.0,0,False,KHEDA,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
Dhairyasheel Sambhajirao Mane,Cosine Green Power,41.05,False,False,False,False,0.0,0,False,HATKANANGLE,0.0,0.0,0,0.0048430096,0.48,None
Dileshwar Kamait ,VEENA CONSTRUCTIONS,29.9,False,False,False,False,0.0,0,False,SUPAUL,0.0,3.0,1,0.9970304,99.7,Is_Ghost_Work
Dilip Saikia,Firose Khakhlari,15.14,False,False,False,False,0.0,0,False,Darrang-Udalguri,0.0,0.0,0,0.0048430096,0.48,None
Dinesh Chandra Yadav,GRAND TRADING COMPANY,61.04,False,False,False,False,0.0,0,False,MADHEPURA,0.0,0.0,0,0.0048430096,0.48,None
Dr Chandra Sekhar Pemmasani,M Butchaiah and Company,12.46,False,False,False,False,0.0,4,True,GUNTUR,0.0,0.0,1,0.95083,95.08,Trend_Anomaly_Score
Dr Jayanta Kumar Roy,CONSTRUCON POWER ENGINEERING,51.47,False,False,False,False,0.0,0,False,JALPAIGURI,0.0,0.0,0,0.0048430096,0.48,None
Dr Mohammad Jawed,RANJIT SALES CORPORATION,68.51,False,False,False,False,0.0,0,False,KISHANGANJ,0.0,0.0,0,0.0048430096,0.48,None
Dr Shashi Tharoor,TATA MOTORS,16.52,False,False,False,False,0.0,4,True,THIRUVANANTHAPURAM,0.0,0.0,1,0.95083,95.08,Trend_Anomaly_Score
Dr Sukanta Majumdar ,BOND CONSTRUCTION,36.21,False,False,False,False,0.0,1,True,BALURGHAT,0.0,0.0,1,0.95083,95.08,Trend_Anomaly_Score
