MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
SUDHAKAR SINGH,BUXAR,Bihar,Lok Sabha,185211956.54,184189494.0,124124191.0,99.45,98,204,48.04,60065303.0,177,176,1,
Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,196063957.11,194938204.0,86399726.0,99.43,50,185,27.03,108538478.0,84,79,5,
Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,260812242.52,259234270.0,207877791.0,99.39,193,244,79.1,51356479.0,198,198,0,
Indra Hang Subba,SIKKIM,Sikkim,Lok Sabha,152003923.11,151079926.0,98023420.0,99.39,38,130,29.23,53056506.0,80,80,0,
Pradyut Bordoloi,NOWGONG,Assam,Lok Sabha,98000000.0,97394000.0,67857468.0,99.38,13,215,6.05,29536532.0,478,475,3,
Shri Mithlesh Kumar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,194673928.0,170753928.0,99.29,195,203,96.06,23920000.0,232,232,0,
Sunil Kumar ,VALMIKI NAGAR,Bihar,Lok Sabha,147000000.0,145930069.0,63664429.0,99.27,79,258,30.62,82265640.0,87,87,0,
RAJA RAM SINGH,KARAKAT,Bihar,Lok Sabha,147000000.0,145887944.0,72478355.0,99.24,114,329,34.65,73409589.0,194,191,3,
Shri Arun Kumar Sagar ,SHAHJAHANPUR,Uttar Pradesh,Lok Sabha,147000000.0,145876200.0,138723000.0,99.24,4,7,57.14,7153200.0,45,45,0,
Shri Arun Singh (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,223492764.11,221643804.0,151462382.0,99.17,46,111,41.44,70181422.0,197,194,3,
DULU MAHATO,DHANBAD,Jharkhand,Lok Sabha,147000000.0,145710045.0,58175255.0,99.12,57,417,13.67,87534790.0,312,272,40,
MANOJ KUMAR,SASARAM,Bihar,Lok Sabha,147000000.0,145610852.0,95686097.0,99.06,82,194,42.27,49924755.0,122,121,1,
SK NURUL ISLAM,BASIRHAT,West Bengal,Lok Sabha,49000000.0,48510650.0,30740105.0,99.0,8,32,25.0,17770545.0,21,21,0,
Shri Surendra Singh Nagar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,220563957.11,218335769.0,109500434.16,98.99,98,299,32.78,108835334.84,281,272,9,
Shri S. Kalyanasundaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,239763792.52,237177871.0,183132534.0,98.92,141,185,76.22,54045337.0,188,181,7,
Vinod Chavda,KACHCHH,Gujarat,Lok Sabha,147000000.0,145391050.0,51201603.0,98.91,98,363,27.0,94189447.0,127,119,8,
Priyanka Gandhi Vadra,WAYANAD,Kerala,Lok Sabha,122500000.0,121145751.0,34714501.0,98.89,11,96,11.46,86431250.0,39,39,0,
Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Nagaland,Rajya Sabha,206563957.11,204171000.0,200229200.0,98.84,58,77,75.32,3941800.0,126,125,1,
VIJAYLAKSHMI DEVI,SIWAN,Bihar,Lok Sabha,147000000.0,145285955.0,134748616.0,98.83,95,182,52.2,10537339.0,142,142,0,
Smt. Sangeeta Yadav (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,193736886.47,169940841.0,98.81,43,121,35.54,23796045.47,261,260,1,
Shri Brij Lal (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,193733662.0,92124068.0,98.81,113,150,75.33,101609594.0,161,159,2,
RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,Bihar,Lok Sabha,147000000.0,145247018.0,72622818.0,98.81,46,171,26.9,72624200.0,76,76,0,
Shri Javed Ali Khan (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,193617928.0,162685314.28,98.75,125,193,64.77,30932613.72,261,251,10,
PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,The Dadra And Nagar Haveli And Daman And Diu,Lok Sabha,245063957.0,241786200.0,0.0,98.66,0,61,0.0,241786200.0,0,0,0,
Shri Meda Raghunadha Reddy (2024-30),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,147000000.0,144970524.0,81390969.0,98.62,111,250,44.4,63579555.0,138,132,6,
Shri Govindbhai Laljibhai Dholakia (2024-30),Sitting Rajya Sabha,Gujarat,Rajya Sabha,147000000.0,144530200.0,27272966.0,98.32,44,122,36.07,117257234.0,59,58,1,
Smt S Jothimani,KARUR,Tamil Nadu,Lok Sabha,147000000.0,144332988.0,48601252.0,98.19,87,177,49.15,95731736.0,103,100,3,
MANI. A.,DHARAMAPURI,Tamil Nadu,Lok Sabha,164515071.11,161217102.0,68465190.0,98.0,63,373,16.89,92751912.0,130,127,3,
Anto Antony,PATHANAMTHITTA,Kerala,Lok Sabha,147000000.0,143897348.0,26984855.0,97.89,60,356,16.85,116912493.0,78,78,0,
THARANIVENTHAN M S,ARANI,Tamil Nadu,Lok Sabha,168337124.35,164629272.0,111465790.0,97.8,192,316,60.76,53163482.0,215,214,1,
RAMBHUAL NISHAD,SULTANPUR,Uttar Pradesh,Lok Sabha,151231957.11,147846720.57,87473694.0,97.76,6,69,8.7,60373026.56999999,26,25,1,
RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,Bihar,Lok Sabha,147000000.0,143571385.0,96375137.0,97.67,77,130,59.23,47196248.0,90,90,0,
Shri Naresh Bansal (2020-26),Sitting Rajya Sabha,Uttarakhand,Rajya Sabha,222043184.71,215921653.0,124316327.0,97.24,106,238,44.54,91605326.0,215,212,3,
Shri Dorjee Tshering Lepcha (2024-30),Sitting Rajya Sabha,Sikkim,Rajya Sabha,150170726.11,145996595.0,91921040.0,97.22,85,118,72.03,54075555.0,183,183,0,
SUDAMA PRASAD,ARRAH,Bihar,Lok Sabha,147000000.0,142785922.0,57716958.0,97.13,66,219,30.14,85068964.0,86,86,0,
RAM PRASAD CHAUDHARY,BASTI,Uttar Pradesh,Lok Sabha,204176957.11,198071774.0,148429426.0,97.01,37,183,20.22,49642348.0,239,239,0,1.0
Sanjay Kumar Bandi,KARIMNAGAR,Telangana,Lok Sabha,172775317.11,167256600.0,65663959.0,96.81,173,635,27.24,101592641.0,307,307,0,
RAJEEV BHARDWAJ,KANGRA,Himachal Pradesh,Lok Sabha,179388967.11,173418823.0,81718389.0,96.67,208,628,33.12,91700434.0,658,652,6,
Dr. Dharmshila Gupta (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,179754823.0,136714265.0,96.54,87,142,61.27,43040558.0,113,112,1,
K RADHAKRISHNAN,ALATHUR,Kerala,Lok Sabha,147000000.0,141911635.0,28066021.0,96.54,15,186,8.06,113845614.0,30,30,0,
KARAN BHUSHAN SINGH,KAISERGANJ,Uttar Pradesh,Lok Sabha,147000000.0,141887056.0,95454825.0,96.52,33,108,30.56,46432231.0,145,144,1,
BIJULI KALITA MEDHI,GUWAHATI,Assam,Lok Sabha,147000000.0,141550000.0,72761435.0,96.29,5,150,3.33,68788565.0,170,169,1,
Shri Satish Chandra Dubey (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235263957.11,226217286.0,160336407.0,96.15,162,254,63.78,65880879.0,207,205,2,
PARTHA BHOWMICK,BARRACKPUR,West Bengal,Lok Sabha,147000000.0,141285236.0,31114929.0,96.11,4,32,12.5,110170307.0,11,11,0,
ADV K FRANCIS GEORGE,KOTTAYAM,Kerala,Lok Sabha,188722256.11,181246978.0,37467974.0,96.04,53,359,14.76,143779004.0,82,80,2,
NALIN SOREN,DUMKA,Jharkhand,Lok Sabha,147364097.11,141450000.0,86550781.0,95.99,106,425,24.94,54899219.0,289,289,0,
RAMASHANKAR RAJBHAR,SALEMPUR,Uttar Pradesh,Lok Sabha,160056927.07,153597970.0,61281620.0,95.96,84,314,26.75,92316350.0,263,241,22,
Shri Shambhu Sharan Patel (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,237168443.49,227574912.0,175884824.0,95.95,199,308,64.61,51690088.0,222,221,1,
AJENDRA SINGH LODHI,HAMIRPUR,Uttar Pradesh,Lok Sabha,147000000.0,140840000.0,48355823.0,95.81,19,191,9.95,92484177.0,104,88,16,
Shripad Yesso Naik,NORTH GOA,Goa,Lok Sabha,147000000.0,140799519.3,15476370.0,95.78,1,115,0.87,125323149.3,25,25,0,
Arvind Dharmapuri,NIZAMABAD,Telangana,Lok Sabha,281396355.11,269501566.0,158096817.0,95.77,476,916,51.97,111404749.0,526,526,0,
ANAND KUMAR,BAHRAICH,Uttar Pradesh,Lok Sabha,147000000.0,140780618.0,66987751.0,95.77,32,110,29.09,73792867.0,102,102,0,
DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,147000000.0,140753639.0,76341346.0,95.75,111,248,44.76,64412293.0,156,156,0,
ABHAY KUMAR SINHA,AURANGABAD,Bihar,Lok Sabha,147000000.0,140604391.0,73566109.0,95.65,124,271,45.76,67038282.0,159,159,0,
DR. MANSUKH MANDAVIYA,PORBANDAR,Gujarat,Lok Sabha,147000000.0,140558455.0,35557268.0,95.62,74,306,24.18,105001187.0,89,86,3,
Shri Baburam Nishad (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,187451605.3,136082109.32,95.61,436,649,67.18,51369495.98000002,595,592,3,
Shri Chunnilal Garasiya (2024-30),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,147000000.0,140513598.0,75910578.0,95.59,24,175,13.71,64603020.0,178,176,2,
PARSHOTTAMBHAI RUPALA,RAJKOT,Gujarat,Lok Sabha,147000000.0,140402854.0,41530051.0,95.51,93,305,30.49,98872803.0,99,95,4,
SALENG A SANGMA,TURA,Meghalaya,Lok Sabha,147000000.0,140370000.0,98620000.0,95.49,132,340,38.82,41750000.0,431,423,8,
K Subbarayan,TIRUPPUR,Tamil Nadu,Lok Sabha,147000000.0,140087576.0,81901423.0,95.3,65,118,55.08,58186153.0,75,75,0,
Shri Deepak (Dev) Adhikari ,GHATAL,West Bengal,Lok Sabha,200747364.0,191294685.0,87788715.0,95.29,165,205,80.49,103505970.0,176,176,0,
Shri B.L. Verma (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,186451342.09,168937264.09,95.1,350,414,84.54,17514078.0,804,803,1,
Dr. Sangeeta Balwant (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,139378666.0,68851419.5,94.82,2,385,0.52,70527246.5,254,254,0,
Dr. Bhim Singh (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,176484095.0,143120329.0,94.78,233,319,73.04,33363766.0,284,281,3,
Durga Das Uikey ,BETUL,Madhya Pradesh,Lok Sabha,151569502.91,143518890.0,85636977.0,94.69,288,498,57.83,57881913.0,437,435,2,
PRIYA SAROJ,MACHHLISHAHR,Uttar Pradesh,Lok Sabha,147000000.0,139032410.0,69805592.0,94.58,725,1396,51.93,69226818.0,1048,1047,1,
RAKESH RATHOR,SITAPUR,Uttar Pradesh,Lok Sabha,147000000.0,138907397.0,91524162.0,94.49,21,71,29.58,47383235.0,105,104,1,
Ganesan Selvam,KANCHEEPURAM,Tamil Nadu,Lok Sabha,186508749.11,175689345.0,111117216.0,94.2,273,456,59.87,64572129.0,291,291,0,
Kripanath Mallah,KARIMGANJ,Assam,Lok Sabha,147000000.0,138460506.0,66488500.0,94.19,0,94,0.0,71972006.0,116,116,0,
Shri B Y Raghavendra ,SHIMOGA,Karnataka,Lok Sabha,147000000.0,138362295.0,70428761.0,94.12,49,350,14.0,67933534.0,298,297,1,
Smt. Sumitra Balmik (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,196063957.11,184137783.0,163767349.0,93.92,62,177,35.03,20370434.0,419,419,0,
Shri Sanjay Raut (2022-28),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,196063957.11,183861364.0,67167846.0,93.78,6,75,8.0,116693518.0,29,29,0,
Smt. Ranjeet Ranjan (2022-28),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,246780257.87,231242048.0,185739464.0,93.7,164,271,60.52,45502584.0,452,430,22,
Virendra Kumar,TIKAMGARH,Madhya Pradesh,Lok Sabha,147000000.0,137647786.0,49785240.0,93.64,12,359,3.34,87862546.0,221,213,8,
Alok Kumar Suman,GOPALGANJ,Bihar,Lok Sabha,147000000.0,137350687.0,51862560.0,93.44,43,155,27.74,85488127.0,57,56,1,
Giridhari Yadav,BANKA,Bihar,Lok Sabha,147000000.0,137231145.0,114805889.0,93.35,92,120,76.67,22425256.0,96,96,0,
Janardan Mishra,REWA,Madhya Pradesh,Lok Sabha,147000000.0,137206693.0,86935425.0,93.34,1,107,0.93,50271268.0,78,78,0,
BIBHU PRASAD TARAI,JAGATSINGHPUR,Odisha,Lok Sabha,147000000.0,137149588.0,16733683.0,93.3,15,344,4.36,120415905.0,85,78,7,
ANANTA NAYAK,KEONJHAR,Odisha,Lok Sabha,147000000.0,136905000.0,30111360.0,93.13,17,342,4.97,106793640.0,451,448,3,
Shri Satish Kumar Gautam ,ALIGARH,Uttar Pradesh,Lok Sabha,147000000.0,136639769.0,87713538.0,92.95,21,103,20.39,48926231.0,127,127,0,
MIAN ALTAF AHMAD,ANANTNAG,Jammu And Kashmir,Lok Sabha,147000000.0,136361166.0,24523857.0,92.76,14,133,10.53,111837309.0,35,35,0,
Dr Mohammad Jawed,KISHANGANJ,Bihar,Lok Sabha,148669229.11,137845700.0,89065400.0,92.72,130,209,62.2,48780300.0,138,138,0,
SUKHDEO BHAGAT,LOHARDAGA,Jharkhand,Lok Sabha,171821957.11,159064623.0,138586757.0,92.58,90,284,31.69,20477866.0,358,358,0,
Shri Rwngwra Narzary (2022-28),Sitting Rajya Sabha,Assam,Rajya Sabha,220563957.11,203869662.0,119812440.0,92.43,17,166,10.24,84057222.0,177,175,2,
DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR,Maharashtra,Lok Sabha,147000000.0,135837283.0,22599453.0,92.41,18,166,10.84,113237830.0,26,26,0,
MALVINDER SINGH KANG,ANANDPUR SAHIB,Punjab,Lok Sabha,147000000.0,135790753.0,80974799.0,92.37,109,374,29.14,54815954.0,793,752,41,
JITENDRA KUMAR DOHARE,ETAWAH,Uttar Pradesh,Lok Sabha,188747306.26,174269829.45,119571988.0,92.33,192,514,37.35,54697841.44999999,518,518,0,
Shri Naveen Jain (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,135577743.0,64773227.0,92.23,10,168,5.95,70804516.0,94,94,0,
LALJI VERMA,AMBEDKAR NAGAR,Uttar Pradesh,Lok Sabha,147000000.0,135165344.0,86165424.0,91.95,61,267,22.85,48999920.0,287,280,7,
Vijay Kumar Dubey,KUSHI NAGAR,Uttar Pradesh,Lok Sabha,148900000.0,136483723.0,80256423.0,91.66,132,239,55.23,56227300.0,324,324,0,
Shri Sant Balbir Singh (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,196359074.44000003,179870023.0,131641205.41,91.6,206,380,54.21,48228817.59,763,756,7,
CHHOTELAL,ROBERTSGANJ,Uttar Pradesh,Lok Sabha,147000000.0,134476735.0,90952339.0,91.48,261,435,60.0,43524396.0,728,728,0,
Bhola Singh,BULANDSHAHR,Uttar Pradesh,Lok Sabha,147000000.0,134442116.0,101017522.0,91.46,142,290,48.97,33424594.0,250,250,0,
Shri Tapir Gao,ARUNACHAL EAST,Arunachal Pradesh,Lok Sabha,147000000.0,134193352.0,98534470.0,91.29,106,167,63.47,35658882.0,199,199,0,
AKHILESH YADAV,KANNAUJ,Uttar Pradesh,Lok Sabha,147000000.0,133799178.0,32453607.0,91.02,40,244,16.39,101345571.0,92,85,7,
AFZAL ANSARI,GHAZIPUR,Uttar Pradesh,Lok Sabha,220500000.0,200499521.0,107091112.0,90.93,35,426,8.22,93408409.0,286,285,1,
Prof. Ram Gopal Yadav (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,221271395.11,200104837.0,178725656.0,90.43,25,81,30.86,21379181.0,125,124,1,
Shri S. Selvaganabathy (2021-27),Sitting Rajya Sabha,Puducherry,Rajya Sabha,292881856.49,264779881.0,101658946.0,90.41,31,102,30.39,163120935.0,92,80,12,
Pradeep Kumar Singh,ARARIA,Bihar,Lok Sabha,147000000.0,132611427.0,132606146.0,90.21,39,86,45.35,5281.0,86,86,0,
AWADHESH PRASAD,FAIZABAD,Uttar Pradesh,Lok Sabha,147000000.0,132516313.0,92097873.0,90.15,108,201,53.73,40418440.0,288,253,35,
DR. RAJESH MISHRA,SIDHI,Madhya Pradesh,Lok Sabha,262724510.35,236416983.0,184983789.0,89.99,172,341,50.44,51433194.0,656,645,11,
MURASOLI S,THANJAVUR,Tamil Nadu,Lok Sabha,147000000.0,132218766.0,77333643.0,89.94,46,88,52.27,54885123.0,72,69,3,
Devusinh Jesingbhai Chauhan,KHEDA,Gujarat,Lok Sabha,147000000.0,132058971.0,56282548.0,89.84,247,674,36.65,75776423.0,302,292,10,
Smt. Darshana Singh (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196994373.87,176945852.0,174994106.0,89.82,31,47,65.96,1951746.0,133,132,1,
Jaswantsinh Sumanbhai Bhabhor,DAHOD,Gujarat,Lok Sabha,147000000.0,131934259.0,26676501.0,89.75,75,414,18.12,105257758.0,91,91,0,
NABA CHARAN MAJHI,MAYURBHANJ,Odisha,Lok Sabha,147563957.11,132300000.0,34922207.0,89.66,27,220,12.27,97377793.0,77,76,1,
Shri Ramji (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,174518577.11,156399935.0,141923083.0,89.62,154,245,62.86,14476852.0,258,174,84,
Midhun Reddy,RAJAMPET,Andhra Pradesh,Lok Sabha,178951477.11,160099216.0,56264747.0,89.47,181,489,37.01,103834469.0,232,217,15,
Shri Narayanasa K. Bhandage (2024-30),Sitting Rajya Sabha,Karnataka,Rajya Sabha,147450000.0,131724620.0,76863625.0,89.34,87,152,57.24,54860995.0,164,163,1,
Kanimozhi Karunanidhi,THOOTHUKKUDI,Tamil Nadu,Lok Sabha,147000000.0,131032027.0,58344698.0,89.14,12,53,22.64,72687329.0,34,33,1,
Shri P. Wilson (2025-31),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,89248285.42,79400000.0,9998159.0,88.97,1,35,2.86,69401841.0,4,4,0,
SANJNA JATAV,BHARATPUR,Rajasthan,Lok Sabha,147000000.0,130636675.1,66932558.1,88.87,76,245,31.02,63704116.99999999,733,713,20,
Radha Mohan Singh,PURVI CHAMPARAN,Bihar,Lok Sabha,147000000.0,130545336.0,69803891.0,88.81,60,124,48.39,60741445.0,83,83,0,
JASHUBHAI BHILUBHAI RATHVA,CHHOTA UDAIPUR,Gujarat,Lok Sabha,147000000.0,130296251.0,38424412.0,88.64,96,453,21.19,91871839.0,121,119,2,
ROBERT BRUCE C,TIRUNELVELI,Tamil Nadu,Lok Sabha,147475440.11,130653154.0,55819028.0,88.59,60,142,42.25,74834126.0,73,73,0,
Rahul Kaswan,CHURU,Rajasthan,Lok Sabha,147000000.0,130037464.0,58894909.0,88.46,37,257,14.4,71142555.0,540,534,6,
Adv Dean Kuriakose,IDUKKI,Kerala,Lok Sabha,147000000.0,129898384.0,58754261.0,88.37,95,189,50.26,71144123.0,116,114,2,
Shri Abdul Wahab (2021-27),Sitting Rajya Sabha,Kerala,Rajya Sabha,310898953.29,274559149.0,93760670.0,88.31,120,368,32.61,180798479.0,164,164,0,
SATPAL BRAHAMCHARI,SONEPAT,Haryana,Lok Sabha,147000000.0,129812634.0,35904950.0,88.31,19,226,8.41,93907684.0,209,180,29,
Asit Kumar Mal ,BOLPUR,West Bengal,Lok Sabha,275694456.74,243441384.0,167656043.0,88.3,134,202,66.34,75785341.0,157,153,4,
Dr. Sandeep Kumar Pathak (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,232203454.24,204855922.0,162756944.0,88.22,157,277,56.68,42098978.0,1147,1120,27,
Shri Babubhai Jesangbhai Desai (2023-29),Sitting Rajya Sabha,Gujarat,Rajya Sabha,171500000.0,150982823.0,85880425.0,88.04,137,282,48.58,65102398.0,172,168,4,
DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Kerala,Lok Sabha,170434031.11,149764005.0,16359185.0,87.87,48,324,14.81,133404820.0,56,54,2,
RAJ KUMAR ROAT,BANSWARA,Rajasthan,Lok Sabha,147000000.0,129087279.0,63894021.0,87.81,23,116,19.83,65193258.0,126,121,5,
Ramvir Singh Bidhuri,SOUTH DELHI,Delhi,Lok Sabha,147559100.0,129282379.0,28849836.0,87.61,41,134,30.6,100432543.0,48,48,0,
Dr. John Brittas (2021-27),Sitting Rajya Sabha,Kerala,Rajya Sabha,245063957.11,214637184.0,57506835.0,87.58,36,144,25.0,157130349.0,57,57,0,
Shri Ryaga Krishnaiah (2024-28),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,170413583.79,149057484.0,61002205.0,87.47,30,71,42.25,88055279.0,38,37,1,
Shri Chandrakant Damodar Handore (2024-30),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,147000000.0,127902582.0,92046911.0,87.01,10,37,27.03,35855671.0,27,26,1,
MALAIYARASAN D,KALLAKURICHI,Tamil Nadu,Lok Sabha,201599593.0,175403247.0,121901141.0,87.01,198,384,51.56,53502106.0,204,204,0,
SHASHANK MANI,DEORIA,Uttar Pradesh,Lok Sabha,147000000.0,127833563.0,80936917.0,86.96,45,126,35.71,46896646.0,142,135,7,
Dileshwar Kamait ,SUPAUL,Bihar,Lok Sabha,150450930.89,130816237.0,89329681.0,86.95,46,131,35.11,41486556.0,76,76,0,
Dinesh Chandra Yadav,MADHEPURA,Bihar,Lok Sabha,150070866.11,129988231.0,92486814.0,86.62,105,156,67.31,37501417.0,113,113,0,
K E PRAKASH,ERODE,Tamil Nadu,Lok Sabha,147000000.0,127327724.0,87182728.0,86.62,141,233,60.52,40144996.0,148,147,1,
PRADEEP PUROHIT,BARGARH,Odisha,Lok Sabha,147000000.0,127137900.0,31249878.0,86.49,42,318,13.21,95888022.0,113,110,3,
SUKHJINDER SINGH RANDHAWA,GURDASPUR,Punjab,Lok Sabha,147000000.0,126983530.0,56807613.0,86.38,90,338,26.63,70175917.0,400,397,3,
Dr. Vikramjit Singh Sahney (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,198656208.57,171596137.74,111224375.74,86.38,27,61,44.26,60371762.000000015,348,347,1,
Shri Ravi Chandra Vaddiraju (2024-30),Sitting Rajya Sabha,Telangana,Rajya Sabha,152732534.11,131769169.0,74168159.0,86.27,107,276,38.77,57601010.0,165,162,3,
Shri Hibi Eden,ERNAKULAM,Kerala,Lok Sabha,162177260.11,139783460.0,24928980.0,86.19,18,112,16.07,114854480.0,34,34,0,
KRISHNA DEVI SHIVSHANKER PATEL,BANDA,Uttar Pradesh,Lok Sabha,147000000.0,126612939.12,76835226.67,86.13,202,442,45.7,49777712.45,352,329,23,
ALOK SHARMA,BHOPAL,Madhya Pradesh,Lok Sabha,147000000.0,126534188.0,63242243.0,86.08,22,90,24.44,63291945.0,85,84,1,
Smt. Mahua Maji (2022-28),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,232524001.2,199543815.0,163193927.0,85.82,150,465,32.26,36349888.0,598,598,0,
Smt. Sonia Gandhi (2024-30),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,147000000.0,125886435.0,74225676.0,85.64,46,128,35.94,51660759.0,144,141,3,
Kalanidhi Veeraswamy,CHENNAI NORTH,Tamil Nadu,Lok Sabha,171500000.0,146804864.0,86228598.0,85.6,40,100,40.0,60576266.0,58,57,1,
Shri LS Tejasvi Surya ,BANGALORE SOUTH,Karnataka,Lok Sabha,147000000.0,125736528.0,40913804.0,85.54,25,136,18.38,84822724.0,51,51,0,
Shri V. Vijayendra Prasad (2022-28),Nominated Rajya Sabha,Andhra Pradesh,Rajya Sabha,196063957.11,167401264.0,90827947.0,85.38,74,194,38.14,76573317.0,113,107,6,
Dr. Sarfraz Ahmad (2024-30),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,178564551.09,152169214.0,82543604.0,85.22,20,377,5.31,69625610.0,186,156,30,
Nitin Jairam Gadkari,NAGPUR,Maharashtra,Lok Sabha,168195086.11,143109407.0,46558565.0,85.09,19,67,28.36,96550842.0,35,29,6,
Smt. Sulata Deo (2022-28),Sitting Rajya Sabha,Odisha,Rajya Sabha,196084721.4,166686484.0,89713285.0,85.01,115,315,36.51,76973199.0,305,302,3,
Shri Haris Beeran (2024-30),Sitting Rajya Sabha,Kerala,Rajya Sabha,122500000.0,104068864.0,17910402.0,84.95,11,216,5.09,86158462.0,24,23,1,
NILESH DNYANDEV LANKE,AHMEDNAGAR,Maharashtra,Lok Sabha,147000000.0,124380392.0,23809461.0,84.61,12,99,12.12,100570931.0,17,17,0,
DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,Maharashtra,Lok Sabha,159680283.39,134892033.0,15660951.0,84.48,8,152,5.26,119231082.0,22,20,2,
Shri Karti P Chidambaram ,SIVAGANGA,Tamil Nadu,Lok Sabha,159049284.11,134172129.0,98344507.0,84.36,117,182,64.29,35827622.0,147,147,0,
NARAYAN DAS AHIRWAR,JALAUN,Uttar Pradesh,Lok Sabha,147000000.0,123716116.8,51218010.8,84.16,36,367,9.81,72498106.0,292,289,3,1.0
Bharatsinhji Shankarji Dabhi,PATAN,Gujarat,Lok Sabha,147000000.0,123505538.0,72505536.0,84.02,160,334,47.9,51000002.0,205,199,6,
RICHARD VANLALHMANGAIHA,MIZORAM,Mizoram,Lok Sabha,147000000.0,123494229.0,96361729.0,84.01,134,266,50.38,27132500.0,319,319,0,
KANWAR SINGH TANWAR,AMROHA,Uttar Pradesh,Lok Sabha,147000000.0,123430143.0,78135018.0,83.97,59,104,56.73,45295125.0,81,81,0,
Prof. Manoj Kumar Jha (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,191620112.11,160811994.0,87200986.0,83.92,110,176,62.5,73611008.0,111,111,0,
GANAPATHY RAJKUMAR P,COIMBATORE,Tamil Nadu,Lok Sabha,147370490.11,123530358.0,43662823.0,83.82,7,107,6.54,79867535.0,45,44,1,
Dr. Kalpana Saini (2022-28),Sitting Rajya Sabha,Uttarakhand,Rajya Sabha,200830405.8,168240049.0,66206094.0,83.77,58,194,29.9,102033955.0,162,152,10,
Shri Vivek K. Tankha (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,220563957.11,184718033.0,116845421.0,83.75,118,504,23.41,67872612.0,635,629,6,
V S Matheswaran,NAMAKKAL,Tamil Nadu,Lok Sabha,162539930.11,136032955.0,90580955.0,83.69,140,205,68.29,45452000.0,141,141,0,
Dr. Dinesh Sharma (2023-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,122978044.0,57084177.0,83.66,2,91,2.2,65893867.0,63,61,2,
RANJIT DUTTA,Sonitpur,Assam,Lok Sabha,147000000.0,122723218.0,72922532.0,83.49,24,152,15.79,49800686.0,345,333,12,
Shri Kapil Sibal (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,163430037.0,94339935.12,83.36,64,223,28.7,69090101.88,291,279,12,
TANUJ PUNIA,BARABANKI,Uttar Pradesh,Lok Sabha,148198170.11,123462716.0,83397272.0,83.31,13,33,39.39,40065444.0,30,30,0,
